"architecture","adaptivity","estimator","n_replications","mean_truth","mean_estimate","bias","empirical_sd","mcse_mean","mean_model_se","model_se_ratio","mean_observed_rate","coverage","coverage_mcse","sign_error","rejection","power","mean_df"
"spaced",0,"marginal",400,0.138078296033005,0.0684978162389635,-0.0695804797940417,0.0458955064439908,0.00229477532219954,0.043508094566528,0.947981576793877,NA,0.6575,0.0237272917755061,0.0725,NA,NA,28.7036933603445
"spaced",0,"oracle_state",400,0.138078296033005,0.136177051819626,-0.00190124421337921,0.0477880200338074,0.00238940100169037,0.0447390087270664,0.936197161870611,NA,0.9425,0.0116397755562554,0,NA,NA,27.0081931628886
"spaced",0,"policy_log",400,0.138078296033005,0.132420676730708,-0.00565761930229752,0.0488090243832493,0.00244045121916246,0.0474757594583567,0.972684048867199,NA,0.9525,0.0106352891357029,0.0025,NA,NA,28.6825144610416
"spaced",0,"recorded_belief",400,0.138078296033005,0.135777653858712,-0.00230064217429289,0.0477806672107026,0.00238903336053513,0.0446828523719814,0.935165935940985,NA,0.9375,0.0121030729568982,0,NA,NA,27.2758374892132
"spaced",0.4,"marginal",400,0.172391890407165,-0.156146301373278,-0.328538191780442,0.0514811765326728,0.00257405882663364,0.047613582883547,0.924873635188365,NA,0,0,0.995,NA,NA,27.8105513772651
"spaced",0.4,"oracle_state",400,0.172391890407165,0.17039402284755,-0.00199786755961419,0.0569869646479697,0.00284934823239849,0.054150337857471,0.95022323424275,NA,0.935,0.012326293035621,0.0025,NA,NA,27.587067715267
"spaced",0.4,"policy_log",400,0.172391890407165,0.168096984899051,-0.00429490550811411,0.0626427548222141,0.00313213774111071,0.0592690631255495,0.946143944240009,NA,0.9375,0.0121030729568982,0.005,NA,NA,28.189302569843
"spaced",0.4,"recorded_belief",400,0.172391890407165,0.169600871177361,-0.0027910192298039,0.0579371040746479,0.0028968552037324,0.0556306945272149,0.960191148931755,NA,0.9375,0.0121030729568982,0.0025,NA,NA,27.8069751310662
"spaced",0.7,"marginal",1000,0.223212163342235,-0.188534684593115,-0.41174684793535,0.0510864034614189,0.00161549392404394,0.0460943627194657,0.902282399939873,NA,0,0,1,NA,NA,26.37672798713
"spaced",0.7,"oracle_state",1000,0.223212163342235,0.225498159782601,0.00228599644036656,0.0682894606577714,0.00215950235863018,0.0663531143177267,0.971645019284182,NA,0.955,0.00655553201502365,0,NA,NA,27.8791554853743
"spaced",0.7,"policy_log",1000,0.223212163342235,0.224778572980074,0.00156640963783958,0.0803378338673478,0.00254050537305033,0.0770770391528201,0.959411468326221,NA,0.943,0.00733150734842434,0.002,NA,NA,28.2129037172593
"spaced",0.7,"recorded_belief",1000,0.223212163342235,0.224444537740679,0.00123237439844432,0.0749983740754136,0.00237165682887632,0.0717571358608209,0.956782553561315,NA,0.948,0.00702111102319284,0.001,NA,NA,28.0731714969133
