"context_strength","proxy_r2","n_replications","mean_truth","mean_estimate","bias","empirical_sd","mcse_mean","mean_model_se","model_se_ratio","mean_observed_rate","coverage","coverage_mcse","sign_error","rejection","power","mean_df"
0,NA,400,0.222582486981187,0.224502883961981,0.0019203969807938,0.0787783654704759,0.00393891827352379,0.0762457790822989,0.967851752533173,NA,0.9425,0.0116397755562554,NA,NA,NA,NA
0.5,NA,400,0.229904854477047,0.386050072415274,0.156145217938228,0.0793451193300832,0.00396725596650416,0.0722445116001476,0.910509836145102,NA,0.4725,0.0249621588609639,NA,NA,NA,NA
1,NA,400,0.247779182484924,0.714747376395674,0.466968193910749,0.0720201079689523,0.00360100539844761,0.0657201542044516,0.912525071925517,NA,0,0,NA,NA,NA,NA
1,0,400,0.247989120987359,0.715415037193419,0.46742591620606,0.0685878447437885,0.00342939223718942,0.0654672948955944,0.954502873506946,NA,0,0,NA,NA,NA,NA
1,0.25,400,0.246606111568832,0.632872714675137,0.386266603106306,0.0755627067029486,0.00377813533514743,0.0672994418503208,0.890643609616682,NA,0,0,NA,NA,NA,NA
1,0.5,400,0.245518121454446,0.536177196820895,0.290659075366449,0.0742239959538129,0.00371119979769064,0.0719328006783072,0.969131340261828,NA,0.04,0.00979795897113271,NA,NA,NA,NA
1,0.75,400,0.245010733444475,0.401741291190248,0.156730557745773,0.0771051115937961,0.0038552555796898,0.0752633115692155,0.976113126788746,NA,0.475,0.0249687304442977,NA,NA,NA,NA
1,1,400,0.247315046107963,0.246531428233975,-0.00078361787398788,0.0913218390255952,0.00456609195127976,0.082844225071406,0.907167726311193,NA,0.925,0.0131695671910659,NA,NA,NA,NA
