"architecture","adaptivity","replication","prediction","outcome_rate","plan_actual_corr","action_state_corr","estimator","truth","estimate","se","df","covered","sign_error","converged"
"spaced",0,0,0.0774600329975615,0.116666666666667,0.446205371474997,0.0761372651240928,"marginal",0.137358167990718,0.0598473351355688,0.0499920659241375,28.6352264137733,"true","false","true"
"spaced",0,0,0.0774600329975615,0.116666666666667,0.446205371474997,0.0761372651240928,"recorded_belief",0.137358167990718,0.136215573028541,0.0472980007293701,27.4784060059259,"true","false","true"
"spaced",0,0,0.0774600329975615,0.116666666666667,0.446205371474997,0.0761372651240928,"policy_log",0.137358167990718,0.119490239408534,0.049874717552696,28.6960768093426,"true","false","true"
"spaced",0,0,0.0774600329975615,0.116666666666667,0.446205371474997,0.0761372651240928,"oracle_state",0.137358167990718,0.136872440243929,0.0481391283970691,27.1846792368536,"true","false","true"
"spaced",0,1,0.0807150376295634,0.106666666666667,0.431313164786485,0.0772513100587345,"marginal",0.138391454466193,0.0691046334407901,0.0416214135329405,28.804149801604,"true","false","true"
"spaced",0,1,0.0807150376295634,0.106666666666667,0.431313164786485,0.0772513100587345,"recorded_belief",0.138391454466193,0.147215964481943,0.0371099334574434,26.9398774133177,"true","false","true"
"spaced",0,1,0.0807150376295634,0.106666666666667,0.431313164786485,0.0772513100587345,"policy_log",0.138391454466193,0.164990910807937,0.0400938042495452,28.7892010081809,"true","false","true"
"spaced",0,1,0.0807150376295634,0.106666666666667,0.431313164786485,0.0772513100587345,"oracle_state",0.138391454466193,0.151069358553349,0.0366924296575083,26.6866965124146,"true","false","true"
"spaced",0,2,0.0817500575848958,0.1105,0.438583292235535,0.0756937128173956,"marginal",0.139291678445576,0.0801366295663016,0.0416844566007808,28.7195823217113,"true","false","true"
"spaced",0,2,0.0817500575848958,0.1105,0.438583292235535,0.0756937128173956,"recorded_belief",0.139291678445576,0.144069488379076,0.0440785047793938,27.5708577487912,"true","false","true"
"spaced",0,2,0.0817500575848958,0.1105,0.438583292235535,0.0756937128173956,"policy_log",0.139291678445576,0.156482278497192,0.0477137130503725,28.7165260828903,"true","false","true"
"spaced",0,2,0.0817500575848958,0.1105,0.438583292235535,0.0756937128173956,"oracle_state",0.139291678445576,0.146402059463831,0.0435904778668843,27.3133474889757,"true","false","true"
"spaced",0,3,0.0804186158195016,0.0933333333333333,0.435662066479909,0.0775773956377991,"marginal",0.137792575578949,0.0746796786531014,0.045669225484351,28.7541784582461,"true","false","true"
"spaced",0,3,0.0804186158195016,0.0933333333333333,0.435662066479909,0.0775773956377991,"recorded_belief",0.137792575578949,0.155604088047578,0.052181596361261,27.6291665657578,"true","false","true"
"spaced",0,3,0.0804186158195016,0.0933333333333333,0.435662066479909,0.0775773956377991,"policy_log",0.137792575578949,0.148919900371235,0.0498811571603467,28.7191775942395,"true","false","true"
"spaced",0,3,0.0804186158195016,0.0933333333333333,0.435662066479909,0.0775773956377991,"oracle_state",0.137792575578949,0.154045145097811,0.0517212469687148,27.4445319777747,"true","false","true"
"spaced",0,4,0.085391345998452,0.089,0.400749058090038,0.0683180824265015,"marginal",0.13493192079187,0.1510954141585,0.0415220806317096,28.587796281829,"true","false","true"
"spaced",0,4,0.085391345998452,0.089,0.400749058090038,0.0683180824265015,"recorded_belief",0.13493192079187,0.224709091469922,0.0435388443574787,27.0861349471717,"false","false","true"
"spaced",0,4,0.085391345998452,0.089,0.400749058090038,0.0683180824265015,"policy_log",0.13493192079187,0.178677963573609,0.0413155183780771,28.6211471417242,"true","false","true"
"spaced",0,4,0.085391345998452,0.089,0.400749058090038,0.0683180824265015,"oracle_state",0.13493192079187,0.226463920934379,0.0436997680047424,26.7979363284791,"false","false","true"
"spaced",0,5,0.0725808788990807,0.107166666666667,0.437954067015222,0.0934629595325343,"marginal",0.137195633119476,0.0491559386248039,0.0458496973715192,28.5792607431349,"true","false","true"
"spaced",0,5,0.0725808788990807,0.107166666666667,0.437954067015222,0.0934629595325343,"recorded_belief",0.137195633119476,0.150133570163689,0.0484890797624969,27.4336647615675,"true","false","true"
"spaced",0,5,0.0725808788990807,0.107166666666667,0.437954067015222,0.0934629595325343,"policy_log",0.137195633119476,0.157103109830316,0.0448843969166465,28.608641568241,"true","false","true"
"spaced",0,5,0.0725808788990807,0.107166666666667,0.437954067015222,0.0934629595325343,"oracle_state",0.137195633119476,0.150987848507367,0.04846120844871,27.2082506614055,"true","false","true"
"spaced",0,6,0.0802867244326786,0.1065,0.416665807486521,0.0780384644613797,"marginal",0.137370183376933,0.00692004672646021,0.030079495640379,28.7624319412404,"false","false","true"
"spaced",0,6,0.0802867244326786,0.1065,0.416665807486521,0.0780384644613797,"recorded_belief",0.137370183376933,0.0712068061008435,0.0341721259535224,27.3949690045781,"true","false","true"
"spaced",0,6,0.0802867244326786,0.1065,0.416665807486521,0.0780384644613797,"policy_log",0.137370183376933,0.0682400853920074,0.0339936143375771,28.7366324377542,"true","false","true"
"spaced",0,6,0.0802867244326786,0.1065,0.416665807486521,0.0780384644613797,"oracle_state",0.137370183376933,0.0722732754369454,0.0336169523354896,27.2659456802454,"true","false","true"
"spaced",0,7,0.08619762786344,0.0955,0.444001957910389,0.0748071638105342,"marginal",0.138343489677959,0.0384313825234418,0.038436199400173,28.7257201874375,"false","false","true"
"spaced",0,7,0.08619762786344,0.0955,0.444001957910389,0.0748071638105342,"recorded_belief",0.138343489677959,0.104852043567318,0.0395382949091716,27.5796844049502,"true","false","true"
"spaced",0,7,0.08619762786344,0.0955,0.444001957910389,0.0748071638105342,"policy_log",0.138343489677959,0.114069349811064,0.0410846929979571,28.70575140162,"true","false","true"
"spaced",0,7,0.08619762786344,0.0955,0.444001957910389,0.0748071638105342,"oracle_state",0.138343489677959,0.103971939753471,0.0402503650298628,27.4267254728943,"true","false","true"
"spaced",0,8,0.0762149912309886,0.100166666666667,0.418667922911245,0.0774914594651825,"marginal",0.136643164194833,0.0381345618067272,0.0459254738368332,28.7588142506005,"false","false","true"
"spaced",0,8,0.0762149912309886,0.100166666666667,0.418667922911245,0.0774914594651825,"recorded_belief",0.136643164194833,0.102381299124304,0.0481266196736711,27.193647803452,"true","false","true"
"spaced",0,8,0.0762149912309886,0.100166666666667,0.418667922911245,0.0774914594651825,"policy_log",0.136643164194833,0.118650775971388,0.0496495988283032,28.7461732017252,"true","false","true"
"spaced",0,8,0.0762149912309886,0.100166666666667,0.418667922911245,0.0774914594651825,"oracle_state",0.136643164194833,0.104411963289843,0.0477234402481624,26.988924621863,"true","false","true"
"spaced",0,9,0.100030985090103,0.107333333333333,0.433682821428303,0.0425327999470795,"marginal",0.13948273834996,0.0938985969999859,0.046954623741874,28.7970048482342,"true","false","true"
"spaced",0,9,0.100030985090103,0.107333333333333,0.433682821428303,0.0425327999470795,"recorded_belief",0.13948273834996,0.147380641344772,0.0458440036181982,27.5764916614699,"true","false","true"
"spaced",0,9,0.100030985090103,0.107333333333333,0.433682821428303,0.0425327999470795,"policy_log",0.13948273834996,0.143805427527542,0.0497316961024221,28.7086444489681,"true","false","true"
"spaced",0,9,0.100030985090103,0.107333333333333,0.433682821428303,0.0425327999470795,"oracle_state",0.13948273834996,0.148873088480499,0.0455590153607855,27.3519277927324,"true","false","true"
"spaced",0,10,0.0812646506414901,0.106333333333333,0.423114991760983,0.0722504289016553,"marginal",0.137657982074176,0.0362586975129108,0.0520316012706118,28.7397679548853,"true","false","true"
"spaced",0,10,0.0812646506414901,0.106333333333333,0.423114991760983,0.0722504289016553,"recorded_belief",0.137657982074176,0.115472954642448,0.0489488585661323,27.0822161387699,"true","false","true"
"spaced",0,10,0.0812646506414901,0.106333333333333,0.423114991760983,0.0722504289016553,"policy_log",0.137657982074176,0.0996674123142764,0.05794520184963,28.7446649484899,"true","false","true"
"spaced",0,10,0.0812646506414901,0.106333333333333,0.423114991760983,0.0722504289016553,"oracle_state",0.137657982074176,0.11228468573607,0.0486582648296011,26.9099336578535,"true","false","true"
"spaced",0,11,0.0790440462901953,0.103333333333333,0.445341615387658,0.0747544944460173,"marginal",0.14006234913171,-0.0250620624938483,0.0412745223127838,28.7365319282529,"false","true","true"
"spaced",0,11,0.0790440462901953,0.103333333333333,0.445341615387658,0.0747544944460173,"recorded_belief",0.14006234913171,0.0656128727849668,0.0445469425139878,26.9715855300998,"true","false","true"
"spaced",0,11,0.0790440462901953,0.103333333333333,0.445341615387658,0.0747544944460173,"policy_log",0.14006234913171,0.0656728474326705,0.0447460174826274,28.7622262978175,"true","false","true"
"spaced",0,11,0.0790440462901953,0.103333333333333,0.445341615387658,0.0747544944460173,"oracle_state",0.14006234913171,0.0710754849129361,0.0447862438792919,26.840741196564,"true","false","true"
"spaced",0,12,0.0885609163910191,0.101666666666667,0.430478947712766,0.0604751692210107,"marginal",0.138011758840739,0.00767315162120201,0.0543462736448425,28.6335336097404,"false","false","true"
"spaced",0,12,0.0885609163910191,0.101666666666667,0.430478947712766,0.0604751692210107,"recorded_belief",0.138011758840739,0.0720575020865158,0.0512417084307256,26.5854531877621,"true","false","true"
"spaced",0,12,0.0885609163910191,0.101666666666667,0.430478947712766,0.0604751692210107,"policy_log",0.138011758840739,0.0611448077500794,0.0576440568166339,28.5720377177312,"true","false","true"
"spaced",0,12,0.0885609163910191,0.101666666666667,0.430478947712766,0.0604751692210107,"oracle_state",0.138011758840739,0.0740088553663458,0.0515798747461754,26.2431170467157,"true","false","true"
