architecture,n_people,compliance,replication,truth,estimate,se,df,covered,detected
spaced,30,0.7,40,0.009664264671950631,0.0005731360063666871,0.006312345621665639,28.99975975312164,true,false
spaced,30,0.7,41,0.009867668920425518,0.015219261781605615,0.008425625319653197,28.999449669485728,true,false
spaced,30,0.7,42,0.009759703721810889,-0.0008562771096870933,0.007146858215964713,28.999056331292856,true,false
spaced,30,0.7,43,0.010274818487586634,0.02581959495734906,0.006028997920637377,28.99959337204519,false,true
spaced,30,0.7,44,0.010733844617145221,0.014010761391233981,0.007589869329849429,28.999345589461036,true,false
spaced,30,0.7,45,0.01007685351719055,-0.00046365747668998926,0.007138682077671836,28.999617782807128,true,false
spaced,30,0.7,46,0.010513318553627719,0.01947317486449844,0.008988622632067978,28.999826328621698,true,true
spaced,30,0.7,47,0.009718465012654842,-0.006501312487869534,0.007916870012112753,28.999731584294274,false,false
spaced,30,0.7,48,0.009541966216578315,0.005726043874486137,0.00789581402026748,28.99968667007326,true,false
spaced,30,0.7,49,0.009949436520193564,0.015656156409981567,0.008573456864429237,28.999694298839692,true,false
spaced,30,0.7,50,0.010223939711921115,0.018081274572889282,0.006727090603476274,28.999692803743347,true,true
spaced,30,0.7,51,0.009923752717838238,0.016112941869212284,0.006983199152679839,28.99873971086402,true,true
spaced,30,0.7,52,0.009675984997882695,0.007105510495252843,0.008185891587702072,28.999691603731332,true,false
spaced,30,0.7,53,0.009751429235392064,0.0010072359634325642,0.008889160487736905,28.999662682807873,true,false
spaced,30,0.7,54,0.009939618689587062,-0.007427905468574766,0.008113987218915169,28.99964242953238,false,false
spaced,30,0.7,55,0.009805327391147476,0.01610848493710868,0.008543445265262323,28.9995210356768,true,false
spaced,30,0.7,56,0.01009190494414665,-0.0025262218097086195,0.009147944278971212,28.998640653538494,true,false
spaced,30,0.7,57,0.009625147674513968,0.02249096127674916,0.010122049861794668,28.99965590991324,true,true
spaced,30,0.7,58,0.009706662952365656,-0.0006189346806425504,0.010008556373360934,28.999536630639838,true,false
spaced,30,0.7,59,0.00968960687572061,0.024868725054968434,0.008383955707830005,28.999455323526327,true,true
spaced,30,0.7,60,0.010149891224341252,0.007099589689403663,0.008707574592968862,28.999611411261036,true,false
spaced,30,0.7,61,0.010082689958121484,0.0014631461370756605,0.007768770153865214,28.99939391225929,true,false
spaced,30,0.7,62,0.009879770174890556,0.005859546241930072,0.009195215224920446,28.99975769795867,true,false
spaced,30,0.7,63,0.009970962400244386,0.0031049235318698844,0.008125311546963535,28.999320603294013,true,false
spaced,30,0.7,64,0.010061963383007291,0.0018856642336610619,0.007613964658732612,28.999758130794696,true,false
spaced,30,0.7,65,0.01014535288729317,0.0038277730158983395,0.009389112813924072,28.999398998283795,true,false
spaced,30,0.7,66,0.01023377465948704,0.004663021532735499,0.007491909050711205,28.999696112265195,true,false
spaced,30,0.7,67,0.010941027823216223,0.025130013799748566,0.008256874320127849,28.99967602906072,true,true
spaced,30,0.7,68,0.01058532378537348,0.00654493064023112,0.007400374634561282,28.999137035578425,true,false
spaced,30,0.7,69,0.009537848295723657,0.012564156529530463,0.007727469366645276,28.999660310554248,true,false
spaced,30,0.7,70,0.010352291140632285,0.01569354835834247,0.007357030924951617,28.999812372689835,true,true
spaced,30,0.7,71,0.01010745032662494,0.011309534619794928,0.009435217951151327,28.999349466640062,true,false
spaced,30,0.7,72,0.009851960411876564,0.009192063280905185,0.007621169757883546,28.999565630352542,true,false
spaced,30,0.7,73,0.009965403016553163,0.01569443782593895,0.007241012788212878,28.999797515987186,true,true
spaced,30,0.7,74,0.009665938733934353,0.018367563849127556,0.007770139904056158,28.999705467528,true,true
spaced,30,0.7,75,0.010194213216070225,0.009898251057056422,0.008043409805449394,28.999721290140805,true,false
spaced,30,0.7,76,0.009825677844680991,0.006422338178723264,0.008227650344306376,28.999874532599563,true,false
spaced,30,0.7,77,0.010001236926380835,-0.0009754069984221752,0.00815646893758064,28.999389260828156,true,false
spaced,30,0.7,78,0.010044530261734535,0.012139689405892917,0.007047639662548319,28.99902940746345,true,false
spaced,30,0.7,79,0.00968950613882097,0.002548182370092514,0.007297061364685944,28.999865840282563,true,false
spaced,30,0.7,80,0.009991290911847986,-0.0014924463141952253,0.008659195375435672,28.999430430064557,true,false
spaced,30,0.7,81,0.00981082305284659,0.02219137551433393,0.008969188489750665,28.999472440115767,true,true
spaced,30,0.7,82,0.009768211331487586,0.006154604854031238,0.006995538419824448,28.99963287138175,true,false
spaced,30,0.7,83,0.01003540126118143,0.007518059955040472,0.008905178124757235,28.999757538558214,true,false
spaced,30,0.7,84,0.00978369450212109,0.007984409644148248,0.008456011065683985,28.999509866497398,true,false
spaced,30,0.7,85,0.01019917483557569,0.005404285584720788,0.006668126067188665,28.999368513148312,true,false
spaced,30,0.7,86,0.009631980678297588,0.02013805643389608,0.0076816682722452125,28.999363794126925,true,true
spaced,30,0.7,87,0.009599755076381299,0.01700413040606382,0.007692808398424092,28.99940891651587,true,true
spaced,30,0.7,88,0.009701216944223715,0.011289230214887654,0.007957469279016914,28.99983099105587,true,false
spaced,30,0.7,89,0.009235692876016837,0.004773288388240567,0.009323601189774162,28.99981951296938,true,false
spaced,30,0.7,90,0.009521255594235434,0.003270074531785138,0.008817117471198184,28.999728849646306,true,false
spaced,30,0.7,91,0.010019809376809607,0.009204680481287664,0.009268170806213026,28.999542972201866,true,false
spaced,30,0.7,92,0.009812007512413099,0.01832777092474415,0.008936931664985928,28.998849933384577,true,true
spaced,30,0.7,93,0.009890519899235268,0.009187766283399661,0.009267398083353242,28.999503872682006,true,false
spaced,30,0.7,94,0.008843277962049482,0.017272197670534215,0.0073820886482116295,28.99931284353214,true,true
spaced,30,0.7,95,0.010099491089629292,0.010128237409423322,0.005705961377059635,28.99991002591049,true,false
spaced,30,0.7,96,0.009869137045227027,0.005384832754210372,0.007170981188804644,28.99959134880723,true,false
spaced,30,0.7,97,0.009997468385851908,0.01505442252920655,0.0083531601167164,28.99929755108032,true,false
spaced,30,0.7,98,0.010033323405798203,0.01292415837668038,0.009989022666009813,28.999734936318028,true,false
spaced,30,0.7,99,0.009716126795808298,0.0045159141987224745,0.009545738378399489,28.999586917249335,true,false
spaced,30,0.7,100,0.009557743293289117,0.007765662118496396,0.007107640522526749,28.99986036706961,true,false
spaced,30,0.7,101,0.009507902133102014,0.008389436831613487,0.007243737122969412,28.999539374149514,true,false
spaced,30,0.7,102,0.009860796519662,0.018176506716574344,0.008535595250670441,28.99909487271019,true,true
spaced,30,0.7,103,0.009593230428078952,0.02264291665346605,0.008603125490846006,28.999492209765908,true,true
spaced,30,0.7,104,0.009945237989372902,-0.0015676170750610775,0.00786971752130538,28.999532177053382,true,false
spaced,30,0.7,105,0.009997387489149143,-0.002738632015900835,0.007643047022470132,28.99852505902318,true,false
spaced,30,0.7,106,0.009788086763088025,0.012960435406204888,0.007792280585312711,28.99979957291914,true,false
spaced,30,0.7,107,0.00929252269814906,0.020737431635479527,0.006526453196927817,28.99954256168024,true,true
spaced,30,0.7,108,0.01026542528781221,0.023650664292797614,0.008927572282123718,28.999801314404742,true,true
spaced,30,0.7,109,0.010178682288297445,0.00523428189925866,0.005302974750819632,28.99938024894971,true,false
spaced,30,0.7,110,0.01001238098086159,0.005269346515441072,0.00891761975261982,28.999255621508464,true,false
spaced,30,0.7,111,0.00977924384591803,0.022491085138031747,0.0073537624580123405,28.99964114874554,true,true
spaced,30,0.7,112,0.010219918981851218,0.010833684727050817,0.009048711749699774,28.9996429328796,true,false
spaced,30,0.7,113,0.010373701949576502,0.0016514899499619764,0.009260239030538324,28.99932945636523,true,false
spaced,30,0.7,114,0.010064746827841803,0.014551739620993072,0.006614501215218826,28.99944505328266,true,true
spaced,30,0.7,115,0.010025848257735432,0.008176755516538285,0.00862023290965562,28.998872889183815,true,false
spaced,30,0.7,116,0.009993154182886895,0.007418912213903411,0.008508318873560433,28.99986551583712,true,false
spaced,30,0.7,117,0.009655295314574036,-0.004385398397292255,0.007568289445871721,28.99953252851369,true,false
spaced,30,0.7,118,0.009991715287469123,0.008734190069698767,0.007988492138486285,28.999734751218767,true,false
spaced,30,0.7,119,0.009726302071151605,0.013864465096786557,0.008195765917379805,28.99933602456151,true,false
spaced,30,0.7,120,0.009833420093741807,-0.007642236270777018,0.00934423689703262,28.99948762314716,true,false
spaced,30,0.7,121,0.010039502340208867,-0.00035098795638312925,0.009640880796994678,28.999728188802976,true,false
spaced,30,0.7,122,0.01012090483483482,0.00555947411525221,0.008953108351855012,28.999859245651855,true,false
spaced,30,0.7,123,0.009962642184499881,0.010026577361610146,0.007815199668365027,28.99939476572866,true,false
