"architecture","n_people","n_replications","mean_truth","mean_estimate","bias","empirical_sd","mcse_mean","mean_model_se","model_se_ratio","mean_observed_rate","coverage","coverage_mcse","sign_error","rejection","power","mean_df"
"spaced",12,1000,NA,-0.000475708538874434,NA,0.0130064602664628,0.00041130038738503,0.0125372628437442,0.96392581739334,NA,NA,NA,NA,0.051,NA,10.9996467255232
"spaced",30,1000,NA,-0.000323362700041911,NA,0.00817863194991079,0.000258631051059422,0.00803064785104978,0.981906008270415,NA,NA,NA,NA,0.048,NA,28.9995301081634
"tutor",12,1000,NA,-0.00107884742479812,NA,0.0393363510636715,0.00124392464201189,0.0378691184283593,0.962700337076581,NA,NA,NA,NA,0.054,NA,10.99257572334
"tutor",30,1000,NA,0.000430364116661799,NA,0.0233700116948084,0.000739024659003663,0.0241307425076648,1.032551580324,NA,NA,NA,NA,0.042,NA,28.9919982904169
