architecture,adaptivity,replication,prediction,outcome_rate,plan_actual_corr,action_state_corr,estimator,truth,estimate,se,df,covered,sign_error,converged
tutor,0.0,0,0.28007061259882526,0.2777777777777778,0.36570333261470683,-0.003477190167278344,marginal,0.27655727906872796,0.30141241428347154,0.0551847571465264,27.767525128976388,true,false,true
tutor,0.0,0,0.28007061259882526,0.2777777777777778,0.36570333261470683,-0.003477190167278344,recorded_belief,0.27655727906872796,0.3602755524801712,0.06009508120392077,26.04311131007165,true,false,true
tutor,0.0,0,0.28007061259882526,0.2777777777777778,0.36570333261470683,-0.003477190167278344,reconstructed_history,0.27655727906872796,0.35149975295975655,0.059606778149361474,26.010893601926846,true,false,true
tutor,0.0,0,0.28007061259882526,0.2777777777777778,0.36570333261470683,-0.003477190167278344,policy_log,0.27655727906872796,0.3192923958527994,0.06678840371238513,26.03095631111029,true,false,true
tutor,0.0,0,0.28007061259882526,0.2777777777777778,0.36570333261470683,-0.003477190167278344,oracle_state,0.27655727906872796,0.35466425152283876,0.06165549434447798,26.008316059516392,true,false,true
tutor,0.0,1,0.2836886962506354,0.21736111111111112,0.38938200473770274,0.0021531732370453885,marginal,0.28572089968160164,0.30524410170984956,0.05980332849330946,28.24346469244604,true,false,true
tutor,0.0,1,0.2836886962506354,0.21736111111111112,0.38938200473770274,0.0021531732370453885,recorded_belief,0.28572089968160164,0.37269248202705035,0.06133999927108012,25.600908429946333,true,false,true
tutor,0.0,1,0.2836886962506354,0.21736111111111112,0.38938200473770274,0.0021531732370453885,reconstructed_history,0.28572089968160164,0.3637696718725624,0.061851880623954296,25.592099764164555,true,false,true
tutor,0.0,1,0.2836886962506354,0.21736111111111112,0.38938200473770274,0.0021531732370453885,policy_log,0.28572089968160164,0.3140181955240164,0.07021543099881175,25.348302542503205,true,false,true
tutor,0.0,1,0.2836886962506354,0.21736111111111112,0.38938200473770274,0.0021531732370453885,oracle_state,0.28572089968160164,0.36932066435095046,0.06259428493896642,25.47762521198084,true,false,true
tutor,0.0,2,0.30707488954306256,0.24305555555555555,0.3419552378825793,-0.03453458628607567,marginal,0.27710907078098895,0.3015502107882862,0.05707354096805735,28.05860215098587,true,false,true
tutor,0.0,2,0.30707488954306256,0.24305555555555555,0.3419552378825793,-0.03453458628607567,recorded_belief,0.27710907078098895,0.30172649881849073,0.05608442522899742,26.145142395461914,true,false,true
tutor,0.0,2,0.30707488954306256,0.24305555555555555,0.3419552378825793,-0.03453458628607567,reconstructed_history,0.27710907078098895,0.304912796625196,0.05643918996967662,26.22444702773759,true,false,true
tutor,0.0,2,0.30707488954306256,0.24305555555555555,0.3419552378825793,-0.03453458628607567,policy_log,0.27710907078098895,0.30994671074346963,0.0603284301437696,26.3622212606655,true,false,true
tutor,0.0,2,0.30707488954306256,0.24305555555555555,0.3419552378825793,-0.03453458628607567,oracle_state,0.27710907078098895,0.3106462457562251,0.056220287383876674,26.10765911869722,true,false,true
tutor,0.0,3,0.2841737856403046,0.34444444444444444,0.3599620516419404,-0.007403104941810677,marginal,0.2774841123932773,0.29960955587761134,0.05269262705798895,27.82914981890097,true,false,true
tutor,0.0,3,0.2841737856403046,0.34444444444444444,0.3599620516419404,-0.007403104941810677,recorded_belief,0.2774841123932773,0.352693219812997,0.052033422347243896,26.36298621255835,true,false,true
tutor,0.0,3,0.2841737856403046,0.34444444444444444,0.3599620516419404,-0.007403104941810677,reconstructed_history,0.2774841123932773,0.34046273834023477,0.05259649342959111,26.53357209808426,true,false,true
tutor,0.0,3,0.2841737856403046,0.34444444444444444,0.3599620516419404,-0.007403104941810677,policy_log,0.2774841123932773,0.31600491268392755,0.0583183892473807,26.304807082935675,true,false,true
tutor,0.0,3,0.2841737856403046,0.34444444444444444,0.3599620516419404,-0.007403104941810677,oracle_state,0.2774841123932773,0.34937312375992696,0.053242954351185354,26.441760903272424,true,false,true
tutor,0.0,4,0.27779898858169977,0.3055555555555556,0.36947227002704697,0.0013268914903826613,marginal,0.2789930754131439,0.27450592404659996,0.06960489281135156,28.172521862845507,true,false,true
tutor,0.0,4,0.27779898858169977,0.3055555555555556,0.36947227002704697,0.0013268914903826613,recorded_belief,0.2789930754131439,0.31469887186693746,0.07795361531975853,26.5144506507664,true,false,true
tutor,0.0,4,0.27779898858169977,0.3055555555555556,0.36947227002704697,0.0013268914903826613,reconstructed_history,0.2789930754131439,0.32189870297057693,0.07742476439329016,26.70139154511597,true,false,true
tutor,0.0,4,0.27779898858169977,0.3055555555555556,0.36947227002704697,0.0013268914903826613,policy_log,0.2789930754131439,0.33246862091860574,0.08512930312630619,26.24305154834706,true,false,true
tutor,0.0,4,0.27779898858169977,0.3055555555555556,0.36947227002704697,0.0013268914903826613,oracle_state,0.2789930754131439,0.3216175000837374,0.07808326712774982,26.55550645678258,true,false,true
tutor,0.0,5,0.2317300699267973,0.3402777777777778,0.3826604033936761,0.043334190320487714,marginal,0.2806903647654003,0.27068440329205906,0.05163905387458856,27.569800457515242,true,false,true
tutor,0.0,5,0.2317300699267973,0.3402777777777778,0.3826604033936761,0.043334190320487714,recorded_belief,0.2806903647654003,0.3688273254329865,0.05391896284525543,25.959849592312644,true,false,true
tutor,0.0,5,0.2317300699267973,0.3402777777777778,0.3826604033936761,0.043334190320487714,reconstructed_history,0.2806903647654003,0.36764646336797124,0.05289398765340441,25.864856551413386,true,false,true
tutor,0.0,5,0.2317300699267973,0.3402777777777778,0.3826604033936761,0.043334190320487714,policy_log,0.2806903647654003,0.35014549170187764,0.0628386419734622,25.88634018462428,true,false,true
tutor,0.0,5,0.2317300699267973,0.3402777777777778,0.3826604033936761,0.043334190320487714,oracle_state,0.2806903647654003,0.371531000768325,0.0522957655213693,25.85039382751581,true,false,true
tutor,0.0,6,0.2609533650489609,0.3701388888888889,0.40968999652560834,0.02711056475727519,marginal,0.28275238638226197,0.21078222001405325,0.07040202734297227,27.71676395891949,true,false,true
tutor,0.0,6,0.2609533650489609,0.3701388888888889,0.40968999652560834,0.02711056475727519,recorded_belief,0.28275238638226197,0.25316033076947325,0.07213354323290329,26.81284703221995,true,false,true
tutor,0.0,6,0.2609533650489609,0.3701388888888889,0.40968999652560834,0.02711056475727519,reconstructed_history,0.28275238638226197,0.2584154170667331,0.07133219217451865,26.93172742546351,true,false,true
tutor,0.0,6,0.2609533650489609,0.3701388888888889,0.40968999652560834,0.02711056475727519,policy_log,0.28275238638226197,0.26525871093606535,0.07363633639453253,27.22397151426086,true,false,true
tutor,0.0,6,0.2609533650489609,0.3701388888888889,0.40968999652560834,0.02711056475727519,oracle_state,0.28275238638226197,0.2592213095726956,0.07134536018458279,26.786349320153445,true,false,true
tutor,0.0,7,0.2578232812448067,0.39444444444444443,0.3790666896226114,0.02867234422180474,marginal,0.28583172010531277,0.12405924012996136,0.04826997310737474,27.793236530842627,false,false,true
tutor,0.0,7,0.2578232812448067,0.39444444444444443,0.3790666896226114,0.02867234422180474,recorded_belief,0.28583172010531277,0.1824672931871318,0.050894317346587795,27.168123542018474,true,false,true
tutor,0.0,7,0.2578232812448067,0.39444444444444443,0.3790666896226114,0.02867234422180474,reconstructed_history,0.28583172010531277,0.18036041519671184,0.049033263594621915,27.120725845887996,false,false,true
tutor,0.0,7,0.2578232812448067,0.39444444444444443,0.3790666896226114,0.02867234422180474,policy_log,0.28583172010531277,0.20905288923484922,0.0598315207785108,27.45633817770627,true,false,true
tutor,0.0,7,0.2578232812448067,0.39444444444444443,0.3790666896226114,0.02867234422180474,oracle_state,0.28583172010531277,0.18493612012960858,0.05126866116296463,27.08421240008351,true,false,true
tutor,0.0,8,0.23313427005895823,0.31666666666666665,0.3901153413363786,0.048794167985215985,marginal,0.2815918132846414,0.16915160689395922,0.05910017075459513,27.362026907539125,true,false,true
tutor,0.0,8,0.23313427005895823,0.31666666666666665,0.3901153413363786,0.048794167985215985,recorded_belief,0.2815918132846414,0.25344967905726673,0.06785963034740795,26.18616911202746,true,false,true
tutor,0.0,8,0.23313427005895823,0.31666666666666665,0.3901153413363786,0.048794167985215985,reconstructed_history,0.2815918132846414,0.25511107087258855,0.06734635569286972,26.23385907491919,true,false,true
tutor,0.0,8,0.23313427005895823,0.31666666666666665,0.3901153413363786,0.048794167985215985,policy_log,0.2815918132846414,0.24481817571646444,0.059768953550138365,26.3345523373843,true,false,true
tutor,0.0,8,0.23313427005895823,0.31666666666666665,0.3901153413363786,0.048794167985215985,oracle_state,0.2815918132846414,0.2549451840503472,0.06808488274873345,26.17711673032773,true,false,true
tutor,0.0,9,0.25926099149775167,0.3402777777777778,0.3353668821418272,0.015023389637680195,marginal,0.2753261240019718,0.27790681277600787,0.05144155980347501,27.419938568001392,true,false,true
tutor,0.0,9,0.25926099149775167,0.3402777777777778,0.3353668821418272,0.015023389637680195,recorded_belief,0.2753261240019718,0.37079562276821854,0.049918034974621224,25.5103493401045,true,false,true
tutor,0.0,9,0.25926099149775167,0.3402777777777778,0.3353668821418272,0.015023389637680195,reconstructed_history,0.2753261240019718,0.35773919688366435,0.05226807172409092,25.656673846431076,true,false,true
tutor,0.0,9,0.25926099149775167,0.3402777777777778,0.3353668821418272,0.015023389637680195,policy_log,0.2753261240019718,0.3457831103409549,0.06184327025767274,25.624670203854663,true,false,true
tutor,0.0,9,0.25926099149775167,0.3402777777777778,0.3353668821418272,0.015023389637680195,oracle_state,0.2753261240019718,0.37513790898025146,0.050618917374032624,25.377736446695355,true,false,true
tutor,0.0,10,0.3206814817406176,0.30486111111111114,0.3742195460514344,-0.034767549081467904,marginal,0.2869795611231435,0.26257415564070596,0.05467006460945734,27.966311285645958,true,false,true
tutor,0.0,10,0.3206814817406176,0.30486111111111114,0.3742195460514344,-0.034767549081467904,recorded_belief,0.2869795611231435,0.28510198316491925,0.057025829032133296,26.263856643260098,true,false,true
tutor,0.0,10,0.3206814817406176,0.30486111111111114,0.3742195460514344,-0.034767549081467904,reconstructed_history,0.2869795611231435,0.28202161457255387,0.05739257367443925,26.218561740797625,true,false,true
tutor,0.0,10,0.3206814817406176,0.30486111111111114,0.3742195460514344,-0.034767549081467904,policy_log,0.2869795611231435,0.2717391359565491,0.0636512641949716,25.83685812456829,true,false,true
tutor,0.0,10,0.3206814817406176,0.30486111111111114,0.3742195460514344,-0.034767549081467904,oracle_state,0.2869795611231435,0.28104412123981043,0.057664715481142145,26.18293716871947,true,false,true
tutor,0.0,11,0.29614300614514366,0.3215277777777778,0.36515819061721927,-0.015766819557411084,marginal,0.27983656689139413,0.2712215021178297,0.056098387411354214,28.1590927576849,true,false,true
tutor,0.0,11,0.29614300614514366,0.3215277777777778,0.36515819061721927,-0.015766819557411084,recorded_belief,0.27983656689139413,0.2957476009693404,0.05509675323672471,26.08984020726289,true,false,true
tutor,0.0,11,0.29614300614514366,0.3215277777777778,0.36515819061721927,-0.015766819557411084,reconstructed_history,0.27983656689139413,0.3006869097547894,0.05520798971656541,26.244188151664567,true,false,true
tutor,0.0,11,0.29614300614514366,0.3215277777777778,0.36515819061721927,-0.015766819557411084,policy_log,0.27983656689139413,0.24157429745242742,0.06449617081255347,26.501392634140803,true,false,true
tutor,0.0,11,0.29614300614514366,0.3215277777777778,0.36515819061721927,-0.015766819557411084,oracle_state,0.27983656689139413,0.3009797177177556,0.05550099998976771,26.17086164571927,true,false,true
tutor,0.0,12,0.2739861360638079,0.33125,0.35355740023282684,0.00504861833418845,marginal,0.2788018184494749,0.23738949519199815,0.05110655843501493,28.16488441208878,true,false,true
tutor,0.0,12,0.2739861360638079,0.33125,0.35355740023282684,0.00504861833418845,recorded_belief,0.2788018184494749,0.268770145222727,0.058251333032986484,27.140478137029394,true,false,true
tutor,0.0,12,0.2739861360638079,0.33125,0.35355740023282684,0.00504861833418845,reconstructed_history,0.2788018184494749,0.2675199290929323,0.05733873770340692,27.077075901358562,true,false,true
tutor,0.0,12,0.2739861360638079,0.33125,0.35355740023282684,0.00504861833418845,policy_log,0.2788018184494749,0.23433854959276842,0.06072170020604022,27.14012730286485,true,false,true
tutor,0.0,12,0.2739861360638079,0.33125,0.35355740023282684,0.00504861833418845,oracle_state,0.2788018184494749,0.271293779381089,0.058495660570684276,27.037151617674755,true,false,true
