"estimator","n_replications","mean_truth","mean_estimate","bias","empirical_sd","mcse_mean","mean_model_se","model_se_ratio","mean_observed_rate","coverage","coverage_mcse","sign_error","rejection","power","mean_df"
"marginal",500,0.219019635453004,-0.212970565165818,-0.431990200618822,0.0514167365806114,0.00229942636350894,0.0455311792066802,0.885532265068908,NA,0,0,1,NA,NA,26.1574533678743
"oracle_state",500,0.219019635453004,0.217120158346314,-0.00189947710669072,0.0714035093114009,0.00319326201304663,0.0696475420530876,0.975407829737678,NA,0.952,0.00955991631762538,0,NA,NA,27.8643319528972
"policy_log",500,0.219019635453004,0.213899132058657,-0.00512050339434759,0.0747074450857006,0.00334101851273918,0.0750498011572483,1.00458262320649,NA,0.946,0.0101078187557949,0,NA,NA,28.052708117657
"recorded_belief",500,0.219019635453004,0.123518992834026,-0.0955006426189784,0.0674146126228931,0.00301487313003209,0.0648626617712516,0.962145434760313,NA,0.688,0.02071984555927,0.038,NA,NA,28.019768402629
