"architecture","n_people","compliance","n_replications","mean_truth","mean_estimate","bias","empirical_sd","mcse_mean","mean_model_se","model_se_ratio","mean_observed_rate","coverage","coverage_mcse","sign_error","rejection","power","mean_df"
"spaced",30,0.7,1000,0.00991520629493604,0.00973938957669956,-0.000175816718236481,0.00822672852208683,0.000260151998216652,0.00807332121620326,0.981352574662976,NA,0.947,0.00708456067798138,NA,NA,0.209,28.9995315128137
"tutor",30,0.7,1000,0.073065962733607,0.0730488828724772,-1.70798611298493e-05,0.0242918985565584,0.000768177281284811,0.0243153215117525,1.00096422908813,NA,0.947,0.00708456067798138,NA,NA,0.81,28.9917845698387
