"architecture","n_people","n_replications","mean_truth","mean_estimate","bias","empirical_sd","mcse_mean","mean_model_se","model_se_ratio","mean_observed_rate","coverage","coverage_mcse","sign_error","rejection","power","mean_df"
"spaced",12,1000,0.0141435576381174,0.0143629988109862,0.000219441172868814,0.0131912694399162,0.00041714456659109,0.0125799545673056,0.953657616092592,NA,0.948,0.00702111102319284,NA,0.173,0.169,10.9996313336927
"spaced",30,1000,0.014156841472171,0.0139177236321415,-0.000239117840029488,0.00817762727445027,0.000258599280431777,0.00805774564997987,0.985340292428716,NA,0.946,0.00714730718522718,NA,0.383,0.383,28.9995219154881
"spaced",60,1000,0.0141519215994065,0.0141828456189938,3.09240195872979e-05,0.0057858824054565,0.000182965666751364,0.00568707462655612,0.982922608519109,NA,0.946,0.00714730718522718,NA,0.691,0.691,58.9995117185052
"spaced",100,1000,0.0141561776367499,0.0142771075575542,0.000120929920804296,0.00452452265873733,0.000143077969266507,0.00444028867020185,0.981382789989388,NA,0.946,0.00714730718522718,NA,0.883,0.883,98.9995134524427
"tutor",12,1000,0.104449607314425,0.105698271593528,0.00124866427910271,0.0379555175717917,0.00120025885297405,0.0377611941087091,0.994880231504813,NA,0.949,0.00695693898205238,NA,0.693,0.693,10.9926653475403
"tutor",30,1000,0.10435452940046,0.105014585051355,0.000660055650894703,0.0240806497388353,0.000761497007114583,0.0240983215903916,1.00073386107717,NA,0.951,0.00682634602111555,NA,0.985,0.985,28.9916425767032
"tutor",60,1000,0.104360152871826,0.105098876924972,0.000738724053145565,0.0167214104469116,0.000528777427027746,0.0171432611799969,1.02522817883244,NA,0.956,0.00648567652600714,NA,1,1,58.9916665750585
"tutor",100,1000,0.104323032496369,0.1046802212324,0.000357188736031691,0.0138751448494784,0.000438770605891058,0.0132426933760063,0.95441838767573,NA,0.946,0.00714730718522718,NA,1,1,98.9914353730419
