architecture,n_people,compliance,replication,truth,estimate,se,df,covered,detected
tutor,30,0.7,0,0.07001816675209988,0.018196242131415147,0.029582786083393684,28.99759801156937,true,false
tutor,30,0.7,1,0.07298243585230664,0.07733315666822489,0.02086057890312979,28.982765509305626,true,true
tutor,30,0.7,2,0.07409954332113038,0.06045271659124358,0.024806316548110243,28.981227342953737,true,true
tutor,30,0.7,3,0.07333152057116528,0.07003468334656406,0.027889444017898463,28.985292576394365,true,true
tutor,30,0.7,4,0.07161559936856418,0.06543234085691482,0.02229811407601273,28.995748097316593,true,true
tutor,30,0.7,5,0.07267155486201847,0.011598355578026883,0.02553563525785078,28.997428529845628,false,false
tutor,30,0.7,6,0.0710638645384383,0.11040619647314451,0.020936305513710774,28.99047644217211,true,true
tutor,30,0.7,7,0.07390623700062277,0.06417161358172417,0.023014081860578847,28.996516739081162,true,true
tutor,30,0.7,8,0.07531319629860288,0.06520985989106062,0.030940260477772902,28.99809915716843,true,true
tutor,30,0.7,9,0.0696840105029479,0.091358351121398,0.026178602168345742,28.989643795896622,true,true
tutor,30,0.7,10,0.07246243210836864,0.07190762249140552,0.023587901735806823,28.99570784674138,true,true
tutor,30,0.7,11,0.07331515014478417,0.0784726930025993,0.027597562857934382,28.9934384641765,true,true
tutor,30,0.7,12,0.06863636929107354,0.062151866696921645,0.01927887536707635,28.991799680798312,true,true
tutor,30,0.7,13,0.07425317984354465,0.03437326851013316,0.027474077927009725,28.993605434080596,true,false
tutor,30,0.7,14,0.07394607567318003,0.08935173796811496,0.026590436996517298,28.989838009136733,true,true
tutor,30,0.7,15,0.07494555791341241,0.06643962352764775,0.023771399341282487,28.996526520644696,true,true
tutor,30,0.7,16,0.07454617207341624,0.10865429698353869,0.01967382266988584,28.987040841810234,true,true
tutor,30,0.7,17,0.07238036641766775,0.021105971343609947,0.021813606889093985,28.99733304184847,false,false
tutor,30,0.7,18,0.07595987360626735,0.07019101579259654,0.02425225356009828,28.988437882824865,true,true
tutor,30,0.7,19,0.07605264166383353,0.07818737000114716,0.025197445178901785,28.9832877428279,true,true
tutor,30,0.7,20,0.07391478189711378,0.08194763735088148,0.02212601273641081,28.995577199103042,true,true
tutor,30,0.7,21,0.07246659510055461,0.05934151164083732,0.022770362169648235,28.98204340275288,true,true
tutor,30,0.7,22,0.07321700112322435,0.09753111766276239,0.02296087233799584,28.997141787462883,true,true
tutor,30,0.7,23,0.0697300118750647,0.07550749570003558,0.028051081885721023,28.997339565737708,true,true
tutor,30,0.7,24,0.07493754783591264,0.044559843332767635,0.02510359570760548,28.988681005042622,true,false
tutor,30,0.7,25,0.07426710651421516,0.026722727825552694,0.02347754170818539,28.99727213049356,true,false
tutor,30,0.7,26,0.07439023466618735,0.03832245291485244,0.02520756293972142,28.996445394080787,true,false
tutor,30,0.7,27,0.07335257464415332,0.07466728540231533,0.027719082683103597,28.98834630133357,true,true
tutor,30,0.7,28,0.07167750560952907,0.055779817172767296,0.022736131708041202,28.994203453986056,true,true
tutor,30,0.7,29,0.07463023241615753,0.07746515177318164,0.023915179125354995,28.992557733352545,true,true
tutor,30,0.7,30,0.07500506811898731,0.06161961532952332,0.02590329440820567,28.99532440667746,true,true
tutor,30,0.7,31,0.07499710477607952,0.099602127068214,0.023172775837328748,28.983968193278972,true,true
tutor,30,0.7,32,0.07118211031077865,0.08123018954434534,0.02831120035825893,28.98777285789259,true,true
tutor,30,0.7,33,0.07520704488004204,0.10879014703995935,0.018007739605368927,28.985926177603808,true,true
