architecture,mechanism,adaptivity,context_strength,observation_strength,replication,parameter,truth,estimate,se,covered,observed_rate
spaced,clean,0.0,0.0,0.0,14,state_slope,-0.55,-0.5718377034262666,0.09168673769060547,true,1.0
spaced,clean,0.0,0.0,0.0,14,previous_failure,0.35,0.08413326936413443,0.18244682658391462,true,1.0
spaced,clean,0.0,0.0,0.0,14,retention,0.75,0.6958181738456122,0.07425066797106941,true,1.0
spaced,clean,0.0,0.0,0.0,15,delay_slope,0.25,0.28611599045561736,0.06681038379244399,true,1.0
spaced,clean,0.0,0.0,0.0,15,state_slope,-0.55,-0.5622751585898624,0.08896212224350342,true,1.0
spaced,clean,0.0,0.0,0.0,15,previous_failure,0.35,0.0587270034830324,0.18519743895593485,true,1.0
spaced,clean,0.0,0.0,0.0,15,retention,0.75,0.7687955653732684,0.06825746665174462,true,1.0
spaced,clean,0.0,0.0,0.0,16,delay_slope,0.25,0.2470853431131093,0.06049208743538411,true,1.0
spaced,clean,0.0,0.0,0.0,16,state_slope,-0.55,-0.487548213588044,0.06831163351256046,true,1.0
spaced,clean,0.0,0.0,0.0,16,previous_failure,0.35,0.6475254841584643,0.14164220132531216,false,1.0
spaced,clean,0.0,0.0,0.0,16,retention,0.75,0.8227528900362678,0.057167151872934946,true,1.0
spaced,clean,0.0,0.0,0.0,17,delay_slope,0.25,0.18383950152927092,0.06412948435899976,true,1.0
spaced,clean,0.0,0.0,0.0,17,state_slope,-0.55,-0.5965424652230185,0.07694750903521769,true,1.0
spaced,clean,0.0,0.0,0.0,17,previous_failure,0.35,0.4298495824865686,0.15645520097133145,true,1.0
spaced,clean,0.0,0.0,0.0,17,retention,0.75,0.8021731439621962,0.05685708532018961,true,1.0
spaced,clean,0.0,0.0,0.0,18,delay_slope,0.25,0.26243151868722814,0.07115601728805027,true,1.0
spaced,clean,0.0,0.0,0.0,18,state_slope,-0.55,-0.49687336911825875,0.09253011465328462,true,1.0
spaced,clean,0.0,0.0,0.0,18,previous_failure,0.35,0.4606180072338356,0.17153001377973484,true,1.0
spaced,clean,0.0,0.0,0.0,18,retention,0.75,0.7761145370957624,0.07520110716941279,true,1.0
spaced,clean,0.0,0.0,0.0,19,delay_slope,0.25,0.23001875711581243,0.06373567497355281,true,1.0
spaced,clean,0.0,0.0,0.0,19,state_slope,-0.55,-0.5082736015229883,0.08573710551915639,true,1.0
spaced,clean,0.0,0.0,0.0,19,previous_failure,0.35,0.3641725138045311,0.16493424378418636,true,1.0
spaced,clean,0.0,0.0,0.0,19,retention,0.75,0.7052005380303753,0.08738914337442692,true,1.0
spaced,clean,0.0,0.0,0.0,20,delay_slope,0.25,0.2379118947764498,0.0642677833593698,true,1.0
spaced,clean,0.0,0.0,0.0,20,state_slope,-0.55,-0.42516757471128985,0.06823478261797165,true,1.0
