study,replication,n_participants,n_items,n_stages,adaptivity,state_reliability,context_strength,true_delay_coefficient_per_sd,failure_rate,planned_actual_spearman,true_randomized_risk_difference,estimator,estimate,standard_error,ci_low,ci_high,converged,truth,bias,squared_error,covered,sign_error
parameter_recovery,0,12,100,2,0.0,0.5,0.0,0.13766049313439868,0.11208333333333333,0.3877477105464775,,naive,0.042968293546702445,0.06879225904162005,-0.09186453417487284,0.17780112126827774,True,0.13766049313439868,-0.09469219958769623,0.008966612662756099,True,False
parameter_recovery,0,12,100,2,0.0,0.5,0.0,0.13766049313439868,0.11208333333333333,0.3877477105464775,,history,0.10141290285307625,0.06279127174506645,-0.021657989767253985,0.22448379547340647,True,0.13766049313439868,-0.036247590281322434,0.0013138878012026207,True,False
parameter_recovery,0,12,100,2,0.0,0.5,0.0,0.13766049313439868,0.11208333333333333,0.3877477105464775,,schedule_conditioned,0.10322716296461083,0.06672008600823741,-0.027544205611534492,0.23399853154075617,True,0.13766049313439868,-0.03443333016978785,0.0011856542265816221,True,False
parameter_recovery,0,12,100,2,0.0,0.5,0.0,0.13766049313439868,0.11208333333333333,0.3877477105464775,,oracle,0.11124668213786144,0.06404156872988133,-0.01427479257270596,0.23676815684842883,True,0.13766049313439868,-0.026413810996537238,0.0006976894113607915,True,False
parameter_recovery,1,12,100,2,0.0,0.5,0.0,0.1391610014320157,0.10833333333333334,0.40700554722318527,,naive,0.06568162917187204,0.06346045676323461,-0.0587008660840678,0.19006412442781187,True,0.1391610014320157,-0.07347937226014367,0.005399218147744771,True,False
parameter_recovery,1,12,100,2,0.0,0.5,0.0,0.1391610014320157,0.10833333333333334,0.40700554722318527,,history,0.09455182984928062,0.06026547597167199,-0.023568503055196477,0.21267216275375772,True,0.1391610014320157,-0.044609171582735085,0.0019899781892978993,True,False
parameter_recovery,1,12,100,2,0.0,0.5,0.0,0.1391610014320157,0.10833333333333334,0.40700554722318527,,schedule_conditioned,0.08952673558787566,0.06818656890961845,-0.0441189394749765,0.22317241065072782,True,0.1391610014320157,-0.049634265844140046,0.002463560345886767,True,False
parameter_recovery,1,12,100,2,0.0,0.5,0.0,0.1391610014320157,0.10833333333333334,0.40700554722318527,,oracle,0.08164677980704195,0.06111811746966012,-0.03814473043349188,0.2014382900475758,True,0.1391610014320157,-0.05751422162497376,0.003307885689126599,True,False
parameter_recovery,2,12,100,2,0.0,0.5,0.0,0.13929225017559688,0.11041666666666666,0.3818645202889792,,naive,0.06424520160892204,0.052403291917988065,-0.03846525055033456,0.16695565376817864,True,0.13929225017559688,-0.07504704856667484,0.005632059498568852,True,False
parameter_recovery,2,12,100,2,0.0,0.5,0.0,0.13929225017559688,0.11041666666666666,0.3818645202889792,,history,0.1492167324541969,0.061549035568493074,0.028580622739950476,0.2698528421684433,True,0.13929225017559688,0.009924482278600016,9.849534849824578e-05,True,False
