"learner_family","scheduler_family","n_stages","candidate_family","learner_family_match","scheduler_family_match","state_rmse","state_correlation","unsigned_pe_correlation","policy_rmse"
"RL","RL",2,"RL",TRUE,TRUE,0.300918148384923,0.939882833803218,0.964831302742145,0.199874148687105
"RL","RL",2,"Bayesian",FALSE,FALSE,0.338556574057036,0.923947319924657,0.948939659894339,0.205186316265981
"RL","RL",8,"RL",TRUE,TRUE,0.239044216066496,0.976664799636538,0.990308777660144,0.199990835981374
"RL","RL",8,"Bayesian",FALSE,FALSE,0.606692833133802,0.940292794982456,0.975817286809255,0.325234435812944
"RL","Bayesian",2,"RL",TRUE,FALSE,0.301016446316846,0.939793554977806,0.963851046181207,0.204935114878201
"RL","Bayesian",2,"Bayesian",FALSE,TRUE,0.339279614545895,0.923567229121643,0.947426012229615,0.199623290157778
"RL","Bayesian",8,"RL",TRUE,FALSE,0.241726425043317,0.976278557562563,0.990130661597441,0.327820290293001
"RL","Bayesian",8,"Bayesian",FALSE,TRUE,0.61306746425488,0.939363734836703,0.975403512962818,0.199804497417791
"Bayesian","RL",2,"RL",FALSE,TRUE,0.348193838060994,0.931147920198534,0.958369651692848,0.200001686547147
"Bayesian","RL",2,"Bayesian",TRUE,FALSE,0.295617709898487,0.931586714581099,0.957305526066541,0.20531206522173
"Bayesian","RL",8,"RL",FALSE,TRUE,0.603565142869572,0.950289275860715,0.982992738253427,0.199803893791615
"Bayesian","RL",8,"Bayesian",TRUE,FALSE,0.209496502615827,0.963232210656448,0.9854558277646,0.31643907721096
"Bayesian","Bayesian",2,"RL",FALSE,FALSE,0.348760190505342,0.928853913736761,0.956798319541027,0.205298855694044
"Bayesian","Bayesian",2,"Bayesian",TRUE,TRUE,0.296207873507049,0.929654610883091,0.956044709773176,0.200089835832428
"Bayesian","Bayesian",8,"RL",FALSE,FALSE,0.612222540396467,0.950485250857165,0.982979022101909,0.319755845950289
"Bayesian","Bayesian",8,"Bayesian",TRUE,TRUE,0.210284746759691,0.962861173904217,0.985352785313962,0.199998168365232
