"n_participants","adaptivity","state_reliability","estimator","n_replications","mean_estimate","mean_truth","bias","absolute_bias","rmse","coverage_95","sign_error_rate","convergence_rate","monte_carlo_se_bias","mean_failure_rate","mean_planned_actual_spearman"
12,0.75,0.5,"oracle",200,0.239992026808214,0.227336521448364,0.0126555053598492,0.100762137780452,0.125671907231363,0.885,0.03,1,0.00886335872543552,0.0993395833333333,0.816599162994646
12,0.75,0.8,"naive",200,-0.210338352088826,0.227878385125139,-0.438216737213965,0.438216737213965,0.44581692211622,0,0.995,1,0.00581058610711278,0.0994916666666667,0.817171327651272
12,0.75,0.8,"history",200,0.0677234117771623,0.227878385125139,-0.160154973347977,0.163459852617796,0.188463665916847,0.6,0.25,1,0.00704220510046492,0.0994916666666667,0.817171327651272
12,0.75,0.8,"schedule_conditioned",200,0.24753986158114,0.227878385125139,0.0196614764560008,0.104695196060921,0.129682153470679,0.94,0.03,1,0.00908665354932395,0.0994916666666667,0.817171327651272
12,0.75,0.8,"oracle",200,0.244222868935337,0.227878385125139,0.0163444838101978,0.0935188915720413,0.115314450120788,0.95,0.015,1,0.00809189688852136,0.0994916666666667,0.817171327651272
12,1.1,0.5,"naive",200,-0.176490949937911,0.293697447095742,-0.470188397033653,0.470188397033653,0.477547051029362,0,1,1,0.00591992514967142,0.0991770833333333,0.893249136384399
12,1.1,0.5,"history",200,-0.0675215650705889,0.293697447095742,-0.36121901216633,0.36121901216633,0.376963072468533,0.05,0.755,1,0.00764211527667532,0.0991770833333333,0.893249136384399
12,1.1,0.5,"schedule_conditioned",200,0.299289435659331,0.293697447095742,0.00559198856358926,0.121649825322389,0.151589314701775,0.945,0.015,1,0.010738567602294,0.0991770833333333,0.893249136384399
12,1.1,0.5,"oracle",200,0.299047767470018,0.293697447095742,0.00535032037427619,0.111623159673096,0.141534329362309,0.95,0.02,1,0.0100259313180185,0.0991770833333333,0.893249136384399
12,1.1,0.8,"naive",200,-0.184591767284009,0.2945260493756,-0.479117816659608,0.479117816659608,0.485848021088074,0,0.995,1,0.00571272816507813,0.0983333333333333,0.894349967161453
12,1.1,0.8,"history",200,0.0532554275244675,0.2945260493756,-0.241270621851132,0.243641684812695,0.271812419992429,0.425,0.33,1,0.00887390128911683,0.0983333333333333,0.894349967161453
12,1.1,0.8,"schedule_conditioned",200,0.298645796367715,0.2945260493756,0.00411974699211575,0.121975708607285,0.159283082934858,0.925,0.03,1,0.0112875010239912,0.0983333333333333,0.894349967161453
12,1.1,0.8,"oracle",200,0.295347739188451,0.2945260493756,0.000821689812851682,0.115463002258129,0.155071639721863,0.92,0.03,1,0.0109925827601198,0.0983333333333333,0.894349967161453
30,0,0.5,"naive",200,0.0737926289799758,0.138144836265902,-0.0643522072859263,0.0671121321617704,0.0782599353886802,0.665,0.05,1,0.00315703800534358,0.102510833333333,0.399085049236529
30,0,0.5,"history",200,0.137087226515152,0.138144836265902,-0.00105760975075018,0.0365508952016504,0.0449657555580998,0.915,0,1,0.00318665609344954,0.102510833333333,0.399085049236529
30,0,0.5,"schedule_conditioned",200,0.139540010353144,0.138144836265902,0.0013951740872415,0.0394759010880565,0.0497983879153185,0.92,0,1,0.0035287284200497,0.102510833333333,0.399085049236529
