"learner_family","scheduler_family","n_stages","estimator","n_replications","mean_truth","mean_estimate","bias","absolute_bias","rmse","coverage_95","sign_error_rate","convergence_rate","monte_carlo_se_bias","mean_failure_rate","design","learner_match","policy_match"
"RL","RL",8,"naive",100,0.234128938514876,-0.353898286116248,-0.588027224631124,0.588027224631124,0.590327671656099,0,1,1,0.00523270891423254,0.0882239583333333,"Naive",,
"RL","RL",8,"state_RL",100,0.234128938514876,0.187492413592074,-0.0466365249228024,0.0625282879674439,0.0757302257916354,0.84,0,1,0.00599671765570058,0.0882239583333333,"State proxy only",TRUE,
"RL","RL",8,"state_Bayesian",100,0.234128938514876,0.145549069750771,-0.0885798687641051,0.0920352015955722,0.106761208596794,0.54,0,1,0.00598952158321329,0.0882239583333333,"State proxy only",FALSE,
"RL","RL",8,"dual_RL_RL",100,0.234128938514876,0.242711884002806,0.00858294548792993,0.0533511646072474,0.0668635461200737,0.95,0,1,0.00666444421023523,0.0882239583333333,"Reconstructed policy",TRUE,TRUE
"RL","RL",8,"dual_RL_Bayesian",100,0.234128938514876,0.230637911973813,-0.00349102654106281,0.0540585089662473,0.0663465076446421,0.94,0,1,0.00665883768357993,0.0882239583333333,"Reconstructed policy",TRUE,FALSE
"RL","RL",8,"dual_Bayesian_RL",100,0.234128938514876,0.242957711655615,0.0088287731407383,0.0534842407897587,0.066919860257766,0.95,0,1,0.00666690943629813,0.0882239583333333,"Reconstructed policy",FALSE,TRUE
"RL","RL",8,"dual_Bayesian_Bayesian",100,0.234128938514876,0.202541742587693,-0.0315871959271834,0.0603467353556055,0.073063137367437,0.91,0,1,0.00662141543615017,0.0882239583333333,"Reconstructed policy",FALSE,FALSE
"RL","RL",8,"logged_plan_RL",100,0.234128938514876,0.23822657592368,0.00409763740880339,0.0578605099875951,0.0719522286150469,0.92,0,1,0.00721973485784312,0.0882239583333333,"Logged plan",TRUE,
"RL","RL",8,"logged_plan_Bayesian",100,0.234128938514876,0.238445228880502,0.00431629036562595,0.0578170231087342,0.072106425884508,0.91,0,1,0.00723397308392602,0.0882239583333333,"Logged plan",FALSE,
"RL","RL",8,"oracle",100,0.234128938514876,0.242046708828391,0.00791777031351443,0.048175176874332,0.0613224165140175,0.95,0,1,0.00611154535862379,0.0882239583333333,"Oracle",TRUE,TRUE
"RL","Bayesian",2,"naive",100,0.201096024537218,-0.165548067212433,-0.366644091749651,0.366644091749651,0.373182466230479,0,0.98,1,0.00699008178080802,0.114045833333333,"Naive",,
"RL","Bayesian",2,"state_RL",100,0.201096024537218,0.150738549274224,-0.0503574752629942,0.0719783605856231,0.0912518776974166,0.93,0.02,1,0.00764821882508442,0.114045833333333,"State proxy only",TRUE,
"RL","Bayesian",2,"state_Bayesian",100,0.201096024537218,0.151132858793349,-0.0499631657438685,0.0720440646315978,0.0911934936711922,0.92,0.02,1,0.00766728281898799,0.114045833333333,"State proxy only",FALSE,
"RL","Bayesian",2,"dual_RL_RL",100,0.201096024537218,0.204326529675123,0.0032305051379055,0.0810282383326447,0.100818069918441,0.94,0.02,1,0.0101273941220518,0.114045833333333,"Reconstructed policy",TRUE,FALSE
"RL","Bayesian",2,"dual_RL_Bayesian",100,0.201096024537218,0.204784331818295,0.00368830728107726,0.0816732096773517,0.101537185787678,0.93,0.02,1,0.0101981363355271,0.114045833333333,"Reconstructed policy",TRUE,TRUE
"RL","Bayesian",2,"dual_Bayesian_RL",100,0.201096024537218,0.20534378014728,0.00424775561006188,0.0811170053991682,0.100848347866804,0.94,0.02,1,0.0101266454404296,0.114045833333333,"Reconstructed policy",FALSE,FALSE
"RL","Bayesian",2,"dual_Bayesian_Bayesian",100,0.201096024537218,0.204851593093504,0.00375556855628585,0.0816703148331478,0.10153439937414,0.93,0.02,1,0.0101976081376049,0.114045833333333,"Reconstructed policy",FALSE,TRUE
"RL","Bayesian",2,"logged_plan_RL",100,0.201096024537218,0.204152305194986,0.00305628065776775,0.0905887875856817,0.110537640239253,0.95,0.03,1,0.0111052035570024,0.114045833333333,"Logged plan",TRUE,
"RL","Bayesian",2,"logged_plan_Bayesian",100,0.201096024537218,0.204207049508542,0.00311102497132376,0.0906152881465937,0.110526639004841,0.95,0.03,1,0.0111039439045638,0.114045833333333,"Logged plan",FALSE,
"RL","Bayesian",2,"oracle",100,0.201096024537218,0.215424596226341,0.0143285716891233,0.0690002706872423,0.0826347364364981,0.95,0,1,0.00817929864079709,0.114045833333333,"Oracle",TRUE,TRUE
"RL","Bayesian",8,"naive",100,0.204081168696991,-0.321220100064512,-0.525301268761503,0.525301268761503,0.527326389214731,0,1,1,0.0046402910477785,0.0853875,"Naive",,
"RL","Bayesian",8,"state_RL",100,0.204081168696991,0.169124364422049,-0.0349568042749423,0.0505856968570924,0.0618283566976804,0.9,0,1,0.00512546378962699,0.0853875,"State proxy only",TRUE,
"RL","Bayesian",8,"state_Bayesian",100,0.204081168696991,0.154591720931319,-0.0494894477656725,0.0591494071415015,0.0710593293743677,0.85,0,1,0.00512492705144797,0.0853875,"State proxy only",FALSE,
"RL","Bayesian",8,"dual_RL_RL",100,0.204081168696991,0.218189968248835,0.0141087995518436,0.0452806010481068,0.0563581852450604,0.93,0,1,0.00548384847844742,0.0853875,"Reconstructed policy",TRUE,FALSE
"RL","Bayesian",8,"dual_RL_Bayesian",100,0.204081168696991,0.213932126985103,0.00985095828811214,0.044812168332819,0.0563479539382863,0.95,0,1,0.00557596803557088,0.0853875,"Reconstructed policy",TRUE,TRUE
"RL","Bayesian",8,"dual_Bayesian_RL",100,0.204081168696991,0.235626801173319,0.0315456324763281,0.0523155292663134,0.0635552727021239,0.87,0,1,0.00554517331287271,0.0853875,"Reconstructed policy",FALSE,FALSE
"RL","Bayesian",8,"dual_Bayesian_Bayesian",100,0.204081168696991,0.21392799471307,0.00984682601607914,0.044862246855763,0.0563124606217662,0.95,0,1,0.00557241876529651,0.0853875,"Reconstructed policy",FALSE,TRUE
"RL","Bayesian",8,"logged_plan_RL",100,0.204081168696991,0.216583934794292,0.0125027660973006,0.0492758686996162,0.0623226960899763,0.93,0,1,0.00613632938009422,0.0853875,"Logged plan",TRUE,
"RL","Bayesian",8,"logged_plan_Bayesian",100,0.204081168696991,0.216720869568706,0.012639700871715,0.0494060304305724,0.0623914212143576,0.93,0,1,0.00614054862404428,0.0853875,"Logged plan",FALSE,
"RL","Bayesian",8,"oracle",100,0.204081168696991,0.209702467486051,0.00562129878906019,0.0400813382998417,0.0517220116323205,0.92,0,1,0.0051674657126188,0.0853875,"Oracle",TRUE,TRUE
"Bayesian","RL",2,"naive",100,0.20459941015178,-0.145046605790142,-0.349646015941922,0.349646015941922,0.356385329103268,0,0.98,1,0.00693269689385582,0.1175375,"Naive",,
"Bayesian","RL",2,"state_RL",100,0.20459941015178,0.13475875333311,-0.06984065681867,0.0834048920114863,0.0966265605994012,0.92,0.01,1,0.00671119588344168,0.1175375,"State proxy only",FALSE,
"Bayesian","RL",2,"state_Bayesian",100,0.20459941015178,0.135344300233135,-0.0692551099186457,0.0830360668097459,0.096116799999893,0.92,0.01,1,0.00669853669560608,0.1175375,"State proxy only",TRUE,
"Bayesian","RL",2,"dual_RL_RL",100,0.20459941015178,0.209724936364135,0.00512552621235491,0.0598933232763472,0.0758559297067313,0.98,0,1,0.00760638424881337,0.1175375,"Reconstructed policy",FALSE,TRUE
"Bayesian","RL",2,"dual_RL_Bayesian",100,0.20459941015178,0.210104000089109,0.0055045899373288,0.0598762685033759,0.0756568815513124,0.98,0,1,0.00758365015368234,0.1175375,"Reconstructed policy",FALSE,FALSE
"Bayesian","RL",2,"dual_Bayesian_RL",100,0.20459941015178,0.209708532194925,0.00510912204314496,0.0598273693755367,0.0758083400643897,0.98,0,1,0.00760170189295513,0.1175375,"Reconstructed policy",TRUE,TRUE
"Bayesian","RL",2,"dual_Bayesian_Bayesian",100,0.20459941015178,0.209332696754039,0.00473328660225878,0.0598808220370338,0.0756219893556034,0.98,0,1,0.00758539350772716,0.1175375,"Reconstructed policy",TRUE,FALSE
"Bayesian","RL",2,"logged_plan_RL",100,0.20459941015178,0.202689264135203,-0.00191014601657708,0.0674120019455831,0.0849383618966827,0.98,0.01,1,0.00853446764708043,0.1175375,"Logged plan",FALSE,
"Bayesian","RL",2,"logged_plan_Bayesian",100,0.20459941015178,0.202724351566795,-0.00187505858498497,0.0672853057078714,0.0848388781886936,0.98,0.01,1,0.00852454531363585,0.1175375,"Logged plan",TRUE,
"Bayesian","RL",2,"oracle",100,0.20459941015178,0.202814438596676,-0.00178497155510484,0.053209785937312,0.0672632776808449,1,0,1,0.00675783301658001,0.1175375,"Oracle",TRUE,TRUE
"Bayesian","RL",8,"naive",100,0.232492511532852,-0.200343463991668,-0.43283597552452,0.43283597552452,0.435140866220818,0,1,1,0.00449533062698129,0.10371875,"Naive",,
"Bayesian","RL",8,"state_RL",100,0.232492511532852,0.187703279422163,-0.044789232110689,0.0585892641434103,0.0704654364400658,0.82,0,1,0.00546735252499447,0.10371875,"State proxy only",FALSE,
"Bayesian","RL",8,"state_Bayesian",100,0.232492511532852,0.182422368598933,-0.0500701429339182,0.060049099681378,0.0732665455846842,0.79,0,1,0.00537574752940418,0.10371875,"State proxy only",TRUE,
"Bayesian","RL",8,"dual_RL_RL",100,0.232492511532852,0.234249008173093,0.00175649664024121,0.0487333673133655,0.0599403747740229,0.95,0,1,0.00602164718530355,0.10371875,"Reconstructed policy",FALSE,TRUE
"Bayesian","RL",8,"dual_RL_Bayesian",100,0.232492511532852,0.250167702926056,0.0176751913932046,0.0495339982031338,0.0611432665567673,0.94,0,1,0.00588276600788182,0.10371875,"Reconstructed policy",FALSE,FALSE
"Bayesian","RL",8,"dual_Bayesian_RL",100,0.232492511532852,0.234584332508637,0.00209182097578505,0.0488834341931673,0.0600690254776021,0.95,0,1,0.00603350251464964,0.10371875,"Reconstructed policy",TRUE,TRUE
"Bayesian","RL",8,"dual_Bayesian_Bayesian",100,0.232492511532852,0.231797155633958,-0.000695355898894165,0.0476521892515734,0.0576841445871429,0.97,0,1,0.00579705342857737,0.10371875,"Reconstructed policy",TRUE,FALSE
"Bayesian","RL",8,"logged_plan_RL",100,0.232492511532852,0.233858317181526,0.00136580564867412,0.0549026852623384,0.0664734580409241,0.95,0,1,0.00667942355134544,0.10371875,"Logged plan",FALSE,
"Bayesian","RL",8,"logged_plan_Bayesian",100,0.232492511532852,0.234225510179659,0.00173299864680748,0.0548985178808174,0.0666095800196103,0.95,0,1,0.00669224854338621,0.10371875,"Logged plan",TRUE,
"Bayesian","RL",8,"oracle",100,0.232492511532852,0.235797108537961,0.00330459700510984,0.0458608933944284,0.0554634524143114,0.95,0,1,0.00556438366571508,0.10371875,"Oracle",TRUE,TRUE
"Bayesian","Bayesian",2,"naive",100,0.200340248152195,-0.138863323129984,-0.339203571282179,0.339203571282179,0.346858919304363,0.01,0.99,1,0.00728361044504799,0.116966666666667,"Naive",,
"Bayesian","Bayesian",2,"state_RL",100,0.200340248152195,0.135133721209794,-0.0652065269424009,0.0808187292361461,0.099065087093177,0.88,0.03,1,0.00749545338612162,0.116966666666667,"State proxy only",FALSE,
"Bayesian","Bayesian",2,"state_Bayesian",100,0.200340248152195,0.136287878135527,-0.0640523700166687,0.0803512627311452,0.098456507016717,0.87,0.02,1,0.00751495322080684,0.116966666666667,"State proxy only",TRUE,
"Bayesian","Bayesian",2,"dual_RL_RL",100,0.200340248152195,0.20071101595827,0.000370767806074213,0.0821267432972874,0.0996343386277999,0.93,0.01,1,0.0100135584675056,0.116966666666667,"Reconstructed policy",FALSE,FALSE
"Bayesian","Bayesian",2,"dual_RL_Bayesian",100,0.200340248152195,0.201995350832422,0.0016551026802262,0.0826105577720749,0.100364485444112,0.92,0.01,1,0.010085638641347,0.116966666666667,"Reconstructed policy",FALSE,TRUE
"Bayesian","Bayesian",2,"dual_Bayesian_RL",100,0.200340248152195,0.201492480995495,0.00115223284329931,0.082180910704752,0.099757864484515,0.93,0.01,1,0.0100253738115075,0.116966666666667,"Reconstructed policy",TRUE,FALSE
"Bayesian","Bayesian",2,"dual_Bayesian_Bayesian",100,0.200340248152195,0.201992534512034,0.00165228635983921,0.0826835933098646,0.100506877751833,0.92,0.01,1,0.0100999562081294,0.116966666666667,"Reconstructed policy",TRUE,TRUE
"Bayesian","Bayesian",2,"logged_plan_RL",100,0.200340248152195,0.199937088590817,-0.000403159561378359,0.0815241048509668,0.103194158042846,0.93,0.02,1,0.0103713239643322,0.116966666666667,"Logged plan",FALSE,
"Bayesian","Bayesian",2,"logged_plan_Bayesian",100,0.200340248152195,0.199991133884288,-0.000349114267906983,0.0815578750075155,0.103325370669447,0.93,0.02,1,0.01038453120344,0.116966666666667,"Logged plan",TRUE,
"Bayesian","Bayesian",2,"oracle",100,0.200340248152195,0.193735936355625,-0.00660431179657044,0.0660669174902053,0.0810978727563002,0.93,0,1,0.00812357091164176,0.116966666666667,"Oracle",TRUE,TRUE
"Bayesian","Bayesian",8,"naive",100,0.203535838990082,-0.198527537405045,-0.402063376395126,0.402063376395126,0.404996399535034,0,1,1,0.00488982141965152,0.100107291666667,"Naive",,
"Bayesian","Bayesian",8,"state_RL",100,0.203535838990082,0.154074731702135,-0.0494611072879469,0.0528998098148654,0.0641411215242711,0.86,0,1,0.00410429971172326,0.100107291666667,"State proxy only",FALSE,
"Bayesian","Bayesian",8,"state_Bayesian",100,0.203535838990082,0.163451716469749,-0.0400841225203327,0.047310181107389,0.0583772977834755,0.92,0,1,0.00426540229641448,0.100107291666667,"State proxy only",TRUE,
"Bayesian","Bayesian",8,"dual_RL_RL",100,0.203535838990082,0.1867708492804,-0.0167649897096818,0.0402803540144555,0.051525526550825,0.95,0,1,0.00489672639191873,0.100107291666667,"Reconstructed policy",FALSE,FALSE
"Bayesian","Bayesian",8,"dual_RL_Bayesian",100,0.203535838990082,0.204431759795054,0.000895920804972926,0.0400939262631209,0.0509987882113986,0.95,0,1,0.00512478008884413,0.100107291666667,"Reconstructed policy",FALSE,TRUE
"Bayesian","Bayesian",8,"dual_Bayesian_RL",100,0.203535838990082,0.203178248958002,-0.000357590032079515,0.0390999785844888,0.0489839290179371,0.97,0,1,0.00492293891795662,0.100107291666667,"Reconstructed policy",TRUE,FALSE
"Bayesian","Bayesian",8,"dual_Bayesian_Bayesian",100,0.203535838990082,0.204674346311911,0.00113850732182974,0.0400466926076514,0.0510930993180717,0.95,0,1,0.00513377467505019,0.100107291666667,"Reconstructed policy",TRUE,TRUE
"Bayesian","Bayesian",8,"logged_plan_RL",100,0.203535838990082,0.205547855368228,0.00201201637814666,0.0411685816637825,0.0525656911751618,0.95,0,1,0.00527917930453779,0.100107291666667,"Logged plan",FALSE,
"Bayesian","Bayesian",8,"logged_plan_Bayesian",100,0.203535838990082,0.205939708291417,0.00240386930133512,0.0412949353067066,0.0527747597575875,0.95,0,1,0.0052985577224289,0.100107291666667,"Logged plan",TRUE,
"Bayesian","Bayesian",8,"oracle",100,0.203535838990082,0.206117662231947,0.00258182324186591,0.034522618317069,0.0436922198912204,0.97,0,1,0.00438356004456978,0.100107291666667,"Oracle",TRUE,TRUE
