"learner_family","scheduler_family","n_stages","estimator","n_replications","mean_truth","mean_estimate","bias","absolute_bias","rmse","coverage_95","sign_error_rate","convergence_rate","monte_carlo_se_bias","mean_failure_rate","design","learner_match","policy_match"
"RL","RL",2,"naive",100,0.20530332180321,-0.176999701286623,-0.382303023089833,0.382303023089833,0.391292551119184,0,0.98,1,0.00838123149610213,0.114358333333333,"Naive",,
"RL","RL",2,"state_RL",100,0.20530332180321,0.139615200733351,-0.0656881210698589,0.089121789937043,0.108491182157547,0.87,0.03,1,0.0086779689451313,0.114358333333333,"State proxy only",TRUE,
"RL","RL",2,"state_Bayesian",100,0.20530332180321,0.139063992745948,-0.0662393290572626,0.0892516920154134,0.108676846676535,0.87,0.03,1,0.00865909243010598,0.114358333333333,"State proxy only",FALSE,
"RL","RL",2,"dual_RL_RL",100,0.20530332180321,0.203384629023361,-0.00191869277984979,0.0802393747683746,0.0984186148433434,0.92,0.01,1,0.00988956309648627,0.114358333333333,"Reconstructed policy",TRUE,TRUE
"RL","RL",2,"dual_RL_Bayesian",100,0.20530332180321,0.202669216432715,-0.00263410537049559,0.078861812457494,0.0968011344464728,0.92,0.01,1,0.00972527744613257,0.114358333333333,"Reconstructed policy",TRUE,FALSE
"RL","RL",2,"dual_Bayesian_RL",100,0.20530332180321,0.203383647799562,-0.00191967400364878,0.0802305696130552,0.0984588994629878,0.92,0.01,1,0.00989361069977036,0.114358333333333,"Reconstructed policy",FALSE,TRUE
"RL","RL",2,"dual_Bayesian_Bayesian",100,0.20530332180321,0.201821604609618,-0.00348171719359263,0.0789089577983803,0.0968041666530891,0.92,0.01,1,0.00972288995923657,0.114358333333333,"Reconstructed policy",FALSE,FALSE
"RL","RL",2,"logged_plan_RL",100,0.20530332180321,0.201220639010224,-0.00408268279298669,0.0857684748506623,0.104097773453343,0.94,0.01,1,0.0104541703723101,0.114358333333333,"Logged plan",TRUE,
"RL","RL",2,"logged_plan_Bayesian",100,0.20530332180321,0.201152413901994,-0.00415090790121653,0.0858204780784099,0.104190471743271,0.94,0.01,1,0.0104632229258856,0.114358333333333,"Logged plan",FALSE,
"RL","RL",2,"oracle",100,0.20530332180321,0.200430705583037,-0.00487261622017292,0.0752467173551102,0.0932182505624679,0.9,0.03,1,0.009355978939164,0.114358333333333,"Oracle",TRUE,TRUE
