study,replication,n_participants,n_items,n_stages,perturbation_log_days,perturbation_compliance,context_strength,estimator,truth,estimate,standard_error,normal_ci_low,normal_ci_high,participant_t_ci_low,participant_t_ci_high,converged,bias,squared_error,normal_covered,participant_t_covered,normal_detected_positive,participant_t_detected_positive,failure_rate,planned_actual_spearman,lpm_estimate,lpm_standard_error,absolute_estimate_difference,absolute_standard_error_difference
micro_randomized_wcls,0,12,100,2,0.15,0.7,1.0,unadjusted_itt,0.0045459520504516565,0.007583598573920501,0.014396434668036289,-0.020633413375430624,0.035800610523271624,-0.024102740488656158,0.03926993763649716,true,0.0030376465234688444,9.227296401542357e-6,true,true,false,false,0.09583333333333334,0.6943365432875943,0.007583598573928181,0.014396434668035862,7.679620828149325e-15,4.2674197509029455e-16
micro_randomized_wcls,0,12,100,2,0.15,0.7,1.0,covariate_adjusted_itt,0.0045459520504516565,0.007130581071125241,0.014146551594951462,-0.020596660054979624,0.034857822197230104,-0.024005769055833615,0.038266931198084095,true,0.002584629020673584,6.68030717450809e-6,true,true,false,false,0.09583333333333334,0.6943365432875943,0.007130581071132829,0.01414655159495116,7.588547845660543e-15,3.0184188481996443e-16
micro_randomized_wcls,1,12,100,2,0.15,0.7,1.0,unadjusted_itt,0.0047523844852264945,-0.0002812939521798653,0.008327336838490034,-0.01660287415562033,0.0160402862512606,-0.018609638756780844,0.018047050852421115,true,-0.00503367843740636,2.5337918611209735e-5,true,true,false,false,0.11125,0.7193600693333454,-0.0002812939521705696,0.00832733683848973,9.295678376347594e-15,3.0357660829594124e-16
micro_randomized_wcls,1,12,100,2,0.15,0.7,1.0,covariate_adjusted_itt,0.0047523844852264945,0.0012353694352804576,0.00909657491147981,-0.01659391739121997,0.019064656261780884,-0.018786056952548508,0.021256795823109423,true,-0.003517015049946037,1.2369394861546925e-5,true,true,false,false,0.11125,0.7193600693333454,0.0012353694352895356,0.00909657491147947,9.078024790221129e-15,3.400058012914542e-16
micro_randomized_wcls,2,12,100,2,0.15,0.7,1.0,unadjusted_itt,0.004939815132329327,0.024654489895127578,0.017026639381497222,-0.008717723292606977,0.05802670308286213,-0.012820890709779674,0.06212987050003483,true,0.01971467476279825,0.0003886684010029142,true,true,false,false,0.12083333333333333,0.7045340789121665,0.024654489895136623,0.017026639381496712,9.044848203743072e-15,5.100087019371813e-16
micro_randomized_wcls,2,12,100,2,0.15,0.7,1.0,covariate_adjusted_itt,0.004939815132329327,0.02841729840698777,0.016907039178641062,-0.004720498383148711,0.06155509519712425,-0.008794843926289125,0.06562944074026467,true,0.023477483274658442,0.0005511922209118669,true,true,false,false,0.12083333333333333,0.7045340789121665,0.02841729840699629,0.016907039178640462,8.520961713998076e-15,6.002143226879753e-16
micro_randomized_wcls,3,12,100,2,0.15,0.7,1.0,unadjusted_itt,0.004934825494330585,0.0049259886185481815,0.013726912754463494,-0.021978760380200267,0.03183073761729663,-0.0252867426478986,0.035138719884994965,true,-8.836875782403109e-6,7.809037359362255e-11,true,true,false,false,0.115,0.7558801277569667,0.004925988618557568,0.013726912754463241,9.386588728510503e-15,2.5326962749261384e-16
micro_randomized_wcls,3,12,100,2,0.15,0.7,1.0,covariate_adjusted_itt,0.004934825494330585,0.004240842286410796,0.013276369952109604,-0.021780842819724026,0.03026252739254562,-0.024980250958068974,0.033461935530890566,true,-0.0006939832079197886,4.816126928746406e-7,true,true,false,false,0.115,0.7558801277569667,0.004240842286420192,0.013276369952109327,9.396129707628376e-15,2.7755575615628914e-16
micro_randomized_wcls,4,12,100,2,0.15,0.7,1.0,unadjusted_itt,0.005418233997927849,0.027444749386099754,0.014067536504565707,-0.00012762216284903025,0.05501712093504854,-0.00351768969949676,0.058407188471696264,true,0.022026515388171904,0.0004851673801453737,true,true,false,false,0.13333333333333333,0.7229724111063214,0.027444749386109694,0.014067536504565258,9.939965517347105e-15,4.49293380277993e-16
micro_randomized_wcls,4,12,100,2,0.15,0.7,1.0,covariate_adjusted_itt,0.005418233997927849,0.02877898693006389,0.014712808970236304,-5.811865159926349e-5,0.05761609251172704,-0.0036036872766893498,0.06116166113681713,true,0.02336075293213604,0.0005457247775563026,true,true,false,false,0.13333333333333333,0.7229724111063214,0.028778986930073545,0.01471280897023598,9.655470867286908e-15,3.2439329000766293e-16
