"learner_family","scheduler_family","n_stages","observation_condition","intercept_shift","state_slope_multiplier","candidate_family","n_replications","family_recovery_rate","candidate_selection_rate","true_parameter","mean_best_parameter","parameter_bias","parameter_exact_recovery_rate","mean_nll","mean_state_rmse","mean_selected_state_rmse","mean_state_correlation","mean_unsigned_pe_correlation","mean_failure_rate"
"Bayesian","RL",8,"intercept_plus_0.25",0.25,1,"Bayesian",100,0.6,0.6,0.2,0.431,0.231,0,3155.55426389949,0.281421338492278,0.278013169353993,0.958880556713961,0.981756175530101,0.104051041666667
"Bayesian","RL",8,"state_slope_0.80",0,0.8,"RL",100,0.36,0.64,0.2,0.211,0.011,0.76,3135.89469889155,0.446944503226663,0.464241829808086,0.955167227530782,0.984694737654084,0.104051041666667
"Bayesian","RL",8,"state_slope_0.80",0,0.8,"Bayesian",100,0.36,0.36,0.2,0.459,0.259,0.01,3137.61348213263,0.295121637467424,0.289177902007419,0.956783913365791,0.980329890949184,0.104051041666667
"Bayesian","RL",8,"combined_plus_0.25_slope_0.80",0.25,0.8,"RL",100,0,1,0.2,0.2835,0.0835,0,3165.78978543316,0.762976326721552,0.762976326721552,0.941071987112013,0.977604341263283,0.104051041666667
"Bayesian","RL",8,"combined_plus_0.25_slope_0.80",0.25,0.8,"Bayesian",100,0,0,0.2,0.646,0.446,0,3184.56107655605,0.390727272703253,,0.941698412624445,0.970043220501029,0.104051041666667
"Bayesian","Bayesian",8,"correct",0,1,"RL",100,0.99,0.01,0.2,0.156,-0.044,0.12,3043.01746668825,0.320777614735323,0.300951942087903,0.945192531819547,0.975662449289958,0.0997625
"Bayesian","Bayesian",8,"correct",0,1,"Bayesian",100,0.99,0.99,0.2,0.2203,0.0203,0.56,3036.77586762749,0.21897451780574,0.218879066192221,0.961600513181114,0.984684784092574,0.0997625
"Bayesian","Bayesian",8,"intercept_minus_0.25",-0.25,1,"RL",100,0.9,0.1,0.2,0.103,-0.097,0,3059.84243519653,0.391562173912525,0.394541910604269,0.90126470586483,0.94069282119325,0.0997625
"Bayesian","Bayesian",8,"intercept_minus_0.25",-0.25,1,"Bayesian",100,0.9,0.9,0.2,0.0556,-0.1444,0.01,3056.05759582998,0.292868285800018,0.289951970888756,0.93262625422618,0.969617345889324,0.0997625
"Bayesian","Bayesian",8,"intercept_plus_0.25",0.25,1,"RL",100,0.54,0.46,0.2,0.207,0.00700000000000001,0.86,3059.67139318523,0.437868174325417,0.449276481049712,0.95509854470433,0.984599008992675,0.0997625
"Bayesian","Bayesian",8,"intercept_plus_0.25",0.25,1,"Bayesian",100,0.54,0.54,0.2,0.4265,0.2265,0,3059.19010416839,0.280301126676349,0.277773942118443,0.958753947203658,0.981719432669947,0.0997625
"Bayesian","Bayesian",8,"state_slope_0.80",0,0.8,"RL",100,0.27,0.73,0.2,0.2125,0.0125,0.75,3039.57712635009,0.460398869871892,0.467415988982131,0.95443662859809,0.98435382545428,0.0997625
"Bayesian","Bayesian",8,"state_slope_0.80",0,0.8,"Bayesian",100,0.27,0.27,0.2,0.4525,0.2525,0,3041.52107442774,0.293008294681559,0.300429877877602,0.956905050099165,0.980406322658819,0.0997625
"Bayesian","Bayesian",8,"combined_plus_0.25_slope_0.80",0.25,0.8,"RL",100,0,1,0.2,0.2855,0.0855,0,3069.48950374164,0.783482761012596,0.783482761012596,0.939730614176836,0.976904901386813,0.0997625
"Bayesian","Bayesian",8,"combined_plus_0.25_slope_0.80",0.25,0.8,"Bayesian",100,0,0,0.2,0.648,0.448,0,3088.40525795978,0.391418805558312,,0.941883527998304,0.970057613635148,0.0997625
