replication,learner_family,scheduler_family,n_stages,failure_rate,selected_family,selected_parameter,rl_parameter_within_family,bayesian_parameter_within_family,rl_nll,bayesian_nll,rl_state_rmse,bayesian_state_rmse,rl_state_correlation,bayesian_state_correlation,rl_unsigned_pe_correlation,bayesian_unsigned_pe_correlation,rl_policy_rmse,bayesian_policy_rmse
86,RL,RL,2,0.11416666666666667,RL,0.25,0.25,0.65,832.7074099231313,832.7957020950321,0.30496576827655786,0.339155183769581,0.9286793238339356,0.9084220786437259,0.9641019016403992,0.9475075280884805,0.1957534049883018,0.2022908287640252
87,RL,RL,2,0.10416666666666667,RL,0.4,0.4,0.65,760.896272514421,762.8133225879044,0.2994079850964704,0.33529027506288556,0.9398441150766506,0.9264427611127879,0.9644981858287706,0.9504800235777126,0.19902728986791263,0.20250609384337728
88,RL,RL,2,0.12458333333333334,Bayesian,0.65,0.2,0.65,892.4806048099537,891.8463305845067,0.30811425961613403,0.34237396704519946,0.9228344654826574,0.9048235402957963,0.9589516162238667,0.942299790855496,0.20422599143586762,0.2072867761696042
89,RL,RL,2,0.10291666666666667,Bayesian,0.65,0.25,0.65,772.1592633955089,771.7224367037276,0.2949817400588178,0.3379819867253937,0.9396251418157641,0.9233472943863198,0.9735229190290587,0.959898016973888,0.1994880006898578,0.20525694512470888
90,RL,RL,2,0.10833333333333334,RL,0.3,0.3,0.65,778.7454106089363,780.0184326217156,0.30469013608356404,0.33899447539257843,0.938030521954908,0.9245015032199185,0.9648235313948095,0.9496986732406777,0.2007684401589838,0.20562463003175663
91,RL,RL,2,0.11375,Bayesian,0.65,0.25,0.65,828.984214067727,828.8841376927787,0.2960383050984666,0.3308174518010814,0.9412111288820665,0.9246813099892651,0.9661630280750336,0.9501223343264834,0.1962206685858117,0.20150495638381719
92,RL,RL,2,0.11541666666666667,RL,0.3,0.3,0.65,831.5922162720441,831.9672612129461,0.3086219258035299,0.3446460619389644,0.9476792293068601,0.9311572360708065,0.9681011664010571,0.9524345854377513,0.19764470720453808,0.20192006877140795
93,RL,RL,2,0.1225,RL,0.3,0.3,0.65,888.953123539021,889.3023628536589,0.29395760709045027,0.3409113178504133,0.9416482576380423,0.9216789079603381,0.9637646365254983,0.9441737091222459,0.19162419798676938,0.1981050454596457
94,RL,RL,2,0.125,RL,0.2,0.2,0.45,899.3032649980537,899.6333911555068,0.2945699637818417,0.33953286576635483,0.9397810893679361,0.9203463935984825,0.9599618923915504,0.9397614388921974,0.1980855896303716,0.20365161742288598
95,RL,RL,2,0.10166666666666667,RL,0.4,0.4,0.65,767.8411215854815,769.5556382869806,0.29513861235339856,0.3340983215644917,0.9435727397269154,0.929237877810483,0.9691776561014103,0.9553857993633945,0.20639634773825463,0.2120655965887027
96,RL,RL,2,0.11916666666666667,Bayesian,0.65,0.3,0.65,859.9182864689487,859.4469574306097,0.30746413990931787,0.33254704210076336,0.9404572096147942,0.9263942314318351,0.9609732927236361,0.944991292203646,0.20211632036206056,0.20660524728427204
97,RL,RL,2,0.11,RL,0.25,0.25,0.65,813.4883730132474,813.9719717026426,0.29787393156886477,0.332086567194084,0.9358162082136143,0.9191179083026857,0.9686333461510748,0.9545083318403714,0.19737558929873997,0.20293425493905587
98,RL,RL,2,0.10125,RL,0.25,0.25,0.65,786.9269102999501,787.0144681549605,0.2952854548788341,0.3428862110934066,0.9370157440013961,0.9198100705035606,0.9700565443080498,0.9556765858618694,0.20135940036747582,0.20473376738178214
99,RL,RL,2,0.11833333333333333,RL,0.3,0.3,0.65,824.3202972668394,825.5005983422429,0.29751783920978025,0.33788683971801176,0.9516277349482571,0.9383791264960866,0.9665921460898961,0.9504604895474295,0.20219049816971207,0.20748230630809422
0,RL,RL,8,0.08291666666666667,RL,0.25,0.25,0.65,2660.3429085367643,2668.289774696525,0.23800486721578273,0.6156886500772782,0.975822315797869,0.9350121201739576,0.9915337759457553,0.9772828488875765,0.19911054923505378,0.3327793890471667
1,RL,RL,8,0.09135416666666667,RL,0.25,0.25,0.65,2793.012090987082,2795.629457059326,0.2269469103636393,0.5951381539719443,0.9777103487955163,0.9452574396179626,0.9904743987317762,0.977218576776398,0.1999066833542915,0.31331317538996023
