replication,learner_family,scheduler_family,n_stages,n_participants,n_items,failure_rate,estimator,estimate,standard_error,ci_low,ci_high,converged,truth,bias,squared_error,covered,sign_error
0,RL,RL,2,30,40,0.1275,naive,-0.2624870744563989,0.07349768745672756,-0.4065425418715849,-0.11843160704121289,True,0.2117583302046783,-0.47424540466107723,0.2249087038421489,False,True
0,RL,RL,2,30,40,0.1275,state_RL,0.10430271378461611,0.07007914876164548,-0.033052417788209026,0.24165784535744125,True,0.2117583302046783,-0.10745561642006218,0.011546709500215538,True,False
0,RL,RL,2,30,40,0.1275,state_Bayesian,0.10360593490998792,0.0705650794562021,-0.03470162082416821,0.24191349064414402,True,0.2117583302046783,-0.10815239529469038,0.011696940607978967,True,False
0,RL,RL,2,30,40,0.1275,dual_RL_RL,0.282269241172174,0.06782489879959681,0.14933243952496425,0.4152060428193838,True,0.2117583302046783,0.0705109109674957,0.004971788565466106,True,False
0,RL,RL,2,30,40,0.1275,dual_RL_Bayesian,0.2793747496374058,0.0692566178420629,0.1436317786669625,0.415117720607849,True,0.2117583302046783,0.06761641943272748,0.004571980176902525,True,False
0,RL,RL,2,30,40,0.1275,dual_Bayesian_RL,0.282640635312965,0.06788118480154359,0.14959351310193958,0.41568775752399045,True,0.2117583302046783,0.07088230510828672,0.005024301177464249,True,False
0,RL,RL,2,30,40,0.1275,dual_Bayesian_Bayesian,0.2794073414680167,0.06929066976313368,0.1435976287322747,0.41521705420375876,True,0.2117583302046783,0.06764901126333842,0.004576388724907288,True,False
0,RL,RL,2,30,40,0.1275,logged_plan_RL,0.3204116273650827,0.08790354784375383,0.14812067359132522,0.49270258113884025,True,0.2117583302046783,0.10865329716040442,0.011805538983827147,True,False
0,RL,RL,2,30,40,0.1275,logged_plan_Bayesian,0.3208774636335727,0.08792031073068604,0.14855365460142808,0.49320127266571734,True,0.2117583302046783,0.10911913342889443,0.011906985280272866,True,False
0,RL,RL,2,30,40,0.1275,oracle,0.24667953925628705,0.0795540754961154,0.09075355128390086,0.40260552722867327,True,0.2117583302046783,0.034921209051608754,0.001219490841626161,True,False
1,RL,RL,2,30,40,0.09083333333333334,naive,-0.17327996844910365,0.053907152795511164,-0.27893798792830554,-0.06762194896990177,True,0.20537203700077566,-0.3786520054498793,0.14337734123121543,False,True
1,RL,RL,2,30,40,0.09083333333333334,state_RL,0.0496634579682432,0.0898993052522124,-0.1265391803260931,0.2258660962625795,True,0.20537203700077566,-0.15570857903253246,0.024245161584330408,True,False
1,RL,RL,2,30,40,0.09083333333333334,state_Bayesian,0.04285900157483936,0.08998551859041118,-0.13351261486236657,0.21923061801204527,True,0.20537203700077566,-0.16251303542593631,0.026410486683351633,True,False
1,RL,RL,2,30,40,0.09083333333333334,dual_RL_RL,0.14717736920355143,0.10240320398302714,-0.05353291060318177,0.3478876490102846,True,0.20537203700077566,-0.05819466779722424,0.0033866193600292876,True,False
1,RL,RL,2,30,40,0.09083333333333334,dual_RL_Bayesian,0.1446899200248339,0.10297463856749181,-0.05714037156745003,0.3465202116171179,True,0.20537203700077566,-0.06068211697594175,0.003682319320681878,True,False
1,RL,RL,2,30,40,0.09083333333333334,dual_Bayesian_RL,0.14742611812585638,0.10241449679371362,-0.053306295589822306,0.34815853184153506,True,0.20537203700077566,-0.05794591887491929,0.0033577295142587275,True,False
1,RL,RL,2,30,40,0.09083333333333334,dual_Bayesian_Bayesian,0.14398520542141746,0.10294970547082029,-0.05779621730139031,0.3457666281442252,True,0.20537203700077566,-0.0613868315793582,0.0037683430913524893,True,False
1,RL,RL,2,30,40,0.09083333333333334,logged_plan_RL,0.2052404700825325,0.11496392773142158,-0.02008882827105382,0.4305697684361188,True,0.20537203700077566,-0.00013156691824317557,1.7309853976006446e-08,True,False
1,RL,RL,2,30,40,0.09083333333333334,logged_plan_Bayesian,0.2051622571441187,0.11510017276367343,-0.02043408147268122,0.43075859576091863,True,0.20537203700077566,-0.00020977985665696086,4.4007588259015046e-08,True,False
1,RL,RL,2,30,40,0.09083333333333334,oracle,0.10666204373541956,0.0880148092240134,-0.0658469823436467,0.2791710698144858,True,0.20537203700077566,-0.09870999326535611,0.009743662770446648,True,False
2,RL,RL,2,30,40,0.10958333333333334,naive,-0.128333127606464,0.0674741461346906,-0.2605824540304576,0.003916198817529581,True,0.204511414805913,-0.33284454241237704,0.11078548941370465,False,True
2,RL,RL,2,30,40,0.10958333333333334,state_RL,0.2069077072076357,0.08880703032923003,0.03284592776234485,0.38096948665292657,True,0.204511414805913,0.002396292401722705,5.742217274553969e-06,True,False
2,RL,RL,2,30,40,0.10958333333333334,state_Bayesian,0.20422154936356637,0.08882852478725269,0.030117640780551125,0.3783254579465816,True,0.204511414805913,-0.0002898654423466318,8.402197466680852e-08,True,False
2,RL,RL,2,30,40,0.10958333333333334,dual_RL_RL,0.18347777892563483,0.09292133052553585,0.0013519710955845754,0.36560358675568505,True,0.204511414805913,-0.02103363588027818,0.00044241383834412557,True,False
2,RL,RL,2,30,40,0.10958333333333334,dual_RL_Bayesian,0.18345903530668423,0.09418534018969607,-0.001144231465120077,0.36806230207848856,True,0.204511414805913,-0.02105237949922878,0.0004432026825795482,True,False
2,RL,RL,2,30,40,0.10958333333333334,dual_Bayesian_RL,0.18239182280491903,0.0931392478031944,-0.00016110288934198524,0.36494474849918,True,0.204511414805913,-0.022119592000993976,0.0004892763502904367,True,False
2,RL,RL,2,30,40,0.10958333333333334,dual_Bayesian_Bayesian,0.18044425529703018,0.09434949788168805,-0.004480760551078378,0.36536927114513873,True,0.204511414805913,-0.02406715950888283,0.0005792281668260092,True,False
2,RL,RL,2,30,40,0.10958333333333334,logged_plan_RL,0.162456185791934,0.0821905025369989,0.0013628008194161434,0.32354957076445184,True,0.204511414805913,-0.04205522901397901,0.001768642287418222,True,False
2,RL,RL,2,30,40,0.10958333333333334,logged_plan_Bayesian,0.1616621354530468,0.08246585803840505,2.905369777292388e-05,0.32329521720832066,True,0.204511414805913,-0.0428492793528662,0.0018360607410599656,True,False
2,RL,RL,2,30,40,0.10958333333333334,oracle,0.311564703158203,0.09143334783552703,0.13235534140057,0.490774064915836,True,0.204511414805913,0.10705328835229,0.01146040654703855,True,False
3,RL,RL,2,30,40,0.10541666666666667,naive,-0.32509260091751246,0.050720343383937244,-0.42450447395002944,-0.22568072788499546,True,0.21078207471989047,-0.5358746756374029,0.2871616679894917,False,True
3,RL,RL,2,30,40,0.10541666666666667,state_RL,0.12248453763279851,0.07647206249821863,-0.02740070486370999,0.272369780129307,True,0.21078207471989047,-0.08829753708709195,0.007796455055646379,True,False
3,RL,RL,2,30,40,0.10541666666666667,state_Bayesian,0.12324972995731551,0.07695716200547853,-0.027586307573422397,0.2740857674880534,True,0.21078207471989047,-0.08753234476257496,0.007661911379634284,True,False
3,RL,RL,2,30,40,0.10541666666666667,dual_RL_RL,0.1545400566758996,0.09132105911081792,-0.024449219181303522,0.3335293325331027,True,0.21078207471989047,-0.05624201804399087,0.0031631645936605946,True,False
3,RL,RL,2,30,40,0.10541666666666667,dual_RL_Bayesian,0.15907766799207979,0.09008972065837446,-0.01749818449833415,0.33565352048249375,True,0.21078207471989047,-0.05170440672781068,0.0026733456750748746,True,False
3,RL,RL,2,30,40,0.10541666666666667,dual_Bayesian_RL,0.15543004506741792,0.09134730418002948,-0.023610671125439853,0.3344707612602757,True,0.21078207471989047,-0.055352029652472545,0.0030638471866482,True,False
3,RL,RL,2,30,40,0.10541666666666667,dual_Bayesian_Bayesian,0.15821383388256052,0.08999559273527703,-0.018177527878582456,0.3346051956437035,True,0.21078207471989047,-0.052568240837329944,0.0027634199447315235,True,False
3,RL,RL,2,30,40,0.10541666666666667,logged_plan_RL,0.11440425041445115,0.1020324557464015,-0.0855793628484958,0.3143878636773981,True,0.21078207471989047,-0.09637782430543931,0.009288685017850129,True,False
3,RL,RL,2,30,40,0.10541666666666667,logged_plan_Bayesian,0.11560095750529312,0.10240103085010487,-0.08510506296091241,0.31630697797149865,True,0.21078207471989047,-0.09518111721459735,0.00905944507421892,True,False
3,RL,RL,2,30,40,0.10541666666666667,oracle,0.16022363681650317,0.084139785190881,-0.004690342157623595,0.32513761579062994,True,0.21078207471989047,-0.05055843790338729,0.002556155643230669,True,False
