"n_participants","perturbation_log_days","perturbation_compliance","estimator","n_replications","mean_truth","mean_estimate","bias","absolute_bias","rmse","normal_coverage_95","participant_t_coverage_95","normal_power_positive","participant_t_power_positive","monte_carlo_se_bias","mean_standard_error","mean_failure_rate"
60,0.3,0.7,"unadjusted_itt",250,0.0098957528541767,0.00951865654697924,-0.000377096307197465,0.00462349391890655,0.00589975085073497,0.936,0.944,0.38,0.36,0.000373117004570662,0.00576923008030093,0.1121
60,0.3,0.7,"covariate_adjusted_itt",250,0.0098957528541767,0.00959440868282872,-0.000301344171347987,0.00457593187799382,0.0058425272498625,0.94,0.948,0.368,0.368,0.000369762304827584,0.00574669763372721,0.1121
60,0.3,1,"unadjusted_itt",250,0.0141524195625872,0.0145084951315738,0.000356075568986655,0.00467341882693501,0.00583807679030549,0.928,0.932,0.692,0.68,0.000369284289865768,0.00577398486321514,0.112078666666667
60,0.3,1,"covariate_adjusted_itt",250,0.0141524195625872,0.0144395090059783,0.000287089443391124,0.00465483313057591,0.00576935987805928,0.936,0.944,0.696,0.684,0.000365165380666299,0.00574189912392989,0.112078666666667
60,0.45,0.7,"unadjusted_itt",250,0.0148473833832828,0.0145407353704383,-0.000306648012844534,0.00466228369359648,0.00577231824273189,0.956,0.96,0.7,0.688,0.000365289261468981,0.00577085383331504,0.112241666666667
60,0.45,0.7,"covariate_adjusted_itt",250,0.0148473833832828,0.0145703353315428,-0.000277048051739975,0.00470538384456903,0.00583324085230507,0.944,0.956,0.7,0.688,0.000369249446155381,0.00573536258878581,0.112241666666667
60,0.45,1,"unadjusted_itt",250,0.0211937747004349,0.0216358274572713,0.000442052756836384,0.00438019861404,0.00552928762479406,0.956,0.956,0.976,0.972,0.000349282747559146,0.00572547642817182,0.112278666666667
60,0.45,1,"covariate_adjusted_itt",250,0.0211937747004349,0.0215488123242392,0.000355037623804236,0.00434704872509977,0.00549343607584454,0.956,0.956,0.976,0.976,0.00034740453720436,0.0056914700823673,0.112278666666667
100,0.15,0.7,"unadjusted_itt",250,0.00495048811117918,0.00485014104179298,-0.0001003470693862,0.00378814651888147,0.00475290723339703,0.928,0.928,0.22,0.212,0.00030113611937018,0.00446278597871276,0.11211
100,0.15,0.7,"covariate_adjusted_itt",250,0.00495048811117918,0.00487516419829543,-7.53239128837482e-05,0.00378835334066848,0.00471639548815613,0.924,0.932,0.232,0.228,0.000298851299532592,0.00443968036350613,0.11211
100,0.15,1,"unadjusted_itt",250,0.0070665927634407,0.00689505483362834,-0.000171537929812366,0.00361905464757419,0.00451994054322332,0.948,0.948,0.352,0.348,0.000286233238599495,0.00444054450633489,0.111883
100,0.15,1,"covariate_adjusted_itt",250,0.0070665927634407,0.00686339447805417,-0.000203198285386527,0.00358514696696966,0.00451855327296935,0.944,0.944,0.336,0.336,0.000286061990483724,0.00441745946338205,0.111883
100,0.3,0.7,"unadjusted_itt",250,0.00989621805146403,0.0102520679645101,0.000355849913046058,0.00343433591405551,0.00447168114082639,0.948,0.948,0.656,0.644,0.00028248256202787,0.00446770877630304,0.1123136
100,0.3,0.7,"covariate_adjusted_itt",250,0.00989621805146403,0.0102301970416995,0.000333978990235469,0.00341067008570466,0.00443521314949661,0.944,0.948,0.644,0.632,0.000280272197839391,0.00444346853276694,0.1123136
100,0.3,1,"unadjusted_itt",250,0.0141271056358825,0.0138211125202967,-0.000305993115585811,0.00331981838478577,0.00421960108010122,0.948,0.96,0.88,0.876,0.000266702318061654,0.00443232675736482,0.1118412
100,0.3,1,"covariate_adjusted_itt",250,0.0141271056358825,0.013839562567328,-0.00028754306855447,0.00331348833003795,0.00419607339831419,0.96,0.96,0.876,0.872,0.00026529025513377,0.00440680882816809,0.1118412
100,0.45,0.7,"unadjusted_itt",250,0.0148513044111803,0.0144899271271676,-0.000361377284012724,0.00381618918018188,0.00460239750639357,0.952,0.956,0.908,0.9,0.000290764601137981,0.00443304879630204,0.1123554
100,0.45,0.7,"covariate_adjusted_itt",250,0.0148513044111803,0.0145266817753799,-0.00032462263580048,0.00373354556299505,0.00450818260056088,0.944,0.948,0.924,0.9,0.000284952828508867,0.00440517490930835,0.1123554
100,0.45,1,"unadjusted_itt",250,0.0212321540829369,0.0211018268824534,-0.000130327200483569,0.00356371440039869,0.00451178085960928,0.944,0.944,0.996,0.996,0.000285803182663675,0.00448553836784076,0.1123316
100,0.45,1,"covariate_adjusted_itt",250,0.0212321540829369,0.0211133320530835,-0.000118822029853437,0.00354273308476038,0.00448019894002347,0.932,0.94,0.996,0.996,0.000283821199636476,0.00446635647878925,0.1123316
