study,replication,n_participants,n_items,n_stages,perturbation_log_days,perturbation_compliance,context_strength,estimator,truth,estimate,standard_error,ci_low,ci_high,bias,squared_error,covered,detected_positive,failure_rate,planned_actual_spearman
micro_randomized_experiment,0,12,100,2,0.15,0.7,1.0,unadjusted_itt,0.00461851279607399,-0.015725221279206014,0.012144043264833475,-0.03952754607827962,0.008077103519867596,-0.020343734075280003,0.00041386751612570874,True,False,0.11166666666666666,0.7139982350691381
micro_randomized_experiment,0,12,100,2,0.15,0.7,1.0,covariate_adjusted_itt,0.00461851279607399,-0.015027633800387501,0.011460875698646716,-0.03749095016973507,0.007435682568960062,-0.01964614659646149,0.00038597107608965545,True,False,0.11166666666666666,0.7139982350691381
micro_randomized_experiment,1,12,100,2,0.15,0.7,1.0,unadjusted_itt,0.0049313539101140495,0.024302147431174034,0.014317074356332693,-0.003759318307238045,0.05236361316958611,0.019370793521059984,0.00037522764163553946,True,False,0.11666666666666667,0.7443241847785043
micro_randomized_experiment,1,12,100,2,0.15,0.7,1.0,covariate_adjusted_itt,0.0049313539101140495,0.021424133639009288,0.015014909924489492,-0.008005089812990116,0.05085335709100869,0.01649277972889524,0.0002720117831858577,True,False,0.11666666666666667,0.7443241847785043
micro_randomized_experiment,2,12,100,2,0.15,0.7,1.0,unadjusted_itt,0.004615398402293003,0.005815779889967274,0.01400881189596354,-0.021641491426121266,0.03327305120605581,0.0012003814876742703,1.4409157159510943e-06,True,False,0.10333333333333333,0.7243846926015092
micro_randomized_experiment,2,12,100,2,0.15,0.7,1.0,covariate_adjusted_itt,0.004615398402293003,0.007763001737265423,0.014818651462640362,-0.02128155512950969,0.03680755860404053,0.0031476033349724193,9.907406754329497e-06,True,False,0.10333333333333333,0.7243846926015092
micro_randomized_experiment,3,12,100,2,0.15,0.7,1.0,unadjusted_itt,0.004901491952898821,-0.01393950842259661,0.013810390739522845,-0.04100787427206139,0.013128857426868163,-0.01884100037549543,0.0003549832951494189,True,False,0.10791666666666666,0.7733935413877676
micro_randomized_experiment,3,12,100,2,0.15,0.7,1.0,covariate_adjusted_itt,0.004901491952898821,-0.014773864677344435,0.014012373390073284,-0.04223811652188807,0.0126903871671992,-0.019675356630243255,0.0003871196585272572,True,False,0.10791666666666666,0.7733935413877676
micro_randomized_experiment,4,12,100,2,0.15,0.7,1.0,unadjusted_itt,0.004433101474025521,0.017222854626688846,0.011573257710957881,-0.0054607304867885995,0.03990643974016629,0.012789753152663324,0.00016357778570606142,True,False,0.1025,0.7014855688343001
micro_randomized_experiment,4,12,100,2,0.15,0.7,1.0,covariate_adjusted_itt,0.004433101474025521,0.017327678745683896,0.012205306765758782,-0.006594722515203315,0.041250080006571106,0.012894577271658374,0.00016627012301476872,True,False,0.1025,0.7014855688343001
