"proxy_r2_target","estimator","n_replications","mean_realized_proxy_r2","maximum_absolute_proxy_r2_error","mean_truth","mean_estimate","bias","absolute_bias","rmse","normal_coverage_95","participant_t_coverage_95","sign_error_rate","convergence_rate","monte_carlo_se_bias","mean_failure_rate","mean_planned_actual_spearman"
0,"plan_conditioned",160,2.78909471465208e-33,8.51129391785532e-32,0.249681546509281,0.736199293572511,0.48651774706323,0.48651774706323,0.490259110645919,0,0,0,1,0.00479417713104319,0.112446875,0.74717270690445
0,"plan_plus_proxy",160,2.78909471465208e-33,8.51129391785532e-32,0.249681546509281,0.736333703756175,0.486652157246894,0.486652157246894,0.49039714609314,0,0,0,1,0.00479716815262207,0.112446875,0.74717270690445
0,"oracle",160,2.78909471465208e-33,8.51129391785532e-32,0.249681546509281,0.260446536683879,0.0107649901745981,0.0609008229651677,0.0771574630369985,0.95,0.95,0,1,0.00605913681340531,0.112446875,0.74717270690445
0.25,"plan_conditioned",160,0.25,4.88498130835069e-15,0.249681546509281,0.736199293572511,0.48651774706323,0.48651774706323,0.490259110645919,0,0,0,1,0.00479417713104319,0.112446875,0.74717270690445
0.25,"plan_plus_proxy",160,0.25,4.88498130835069e-15,0.249681546509281,0.659079319925514,0.409397773416233,0.409397773416233,0.414184914528818,0,0,0,1,0.00497958508101712,0.112446875,0.74717270690445
0.25,"oracle",160,0.25,4.88498130835069e-15,0.249681546509281,0.260446536683879,0.0107649901745981,0.0609008229651677,0.0771574630369985,0.95,0.95,0,1,0.00605913681340531,0.112446875,0.74717270690445
0.5,"plan_conditioned",160,0.5,6.77236045021345e-15,0.249681546509281,0.736199293572511,0.48651774706323,0.48651774706323,0.490259110645919,0,0,0,1,0.00479417713104319,0.112446875,0.74717270690445
0.5,"plan_plus_proxy",160,0.5,6.77236045021345e-15,0.249681546509281,0.561389042281905,0.311707495772624,0.311707495772624,0.318877435966659,0.0125,0.01875,0,1,0.0053325016536075,0.112446875,0.74717270690445
0.5,"oracle",160,0.5,6.77236045021345e-15,0.249681546509281,0.260446536683879,0.0107649901745981,0.0609008229651677,0.0771574630369985,0.95,0.95,0,1,0.00605913681340531,0.112446875,0.74717270690445
0.75,"plan_conditioned",160,0.75,1.14352971536391e-14,0.249681546509281,0.736199293572511,0.48651774706323,0.48651774706323,0.490259110645919,0,0,0,1,0.00479417713104319,0.112446875,0.74717270690445
0.75,"plan_plus_proxy",160,0.75,1.14352971536391e-14,0.249681546509281,0.435257461167413,0.185575914658132,0.185575914658132,0.199403281266952,0.29375,0.33125,0,1,0.00578615158644237,0.112446875,0.74717270690445
0.75,"oracle",160,0.75,1.14352971536391e-14,0.249681546509281,0.260446536683879,0.0107649901745981,0.0609008229651677,0.0771574630369985,0.95,0.95,0,1,0.00605913681340531,0.112446875,0.74717270690445
1,"plan_conditioned",160,1,1.55431223447522e-15,0.249681546509281,0.736199293572511,0.48651774706323,0.48651774706323,0.490259110645919,0,0,0,1,0.00479417713104319,0.112446875,0.74717270690445
1,"plan_plus_proxy",160,1,1.55431223447522e-15,0.249681546509281,0.265519061810438,0.0158375153011567,0.0652499030853618,0.0823242128259648,0.9625,0.9625,0,1,0.00640678155177806,0.112446875,0.74717270690445
1,"oracle",160,1,1.55431223447522e-15,0.249681546509281,0.260446536683879,0.0107649901745981,0.0609008229651677,0.0771574630369985,0.95,0.95,0,1,0.00605913681340531,0.112446875,0.74717270690445
