replication,learner_family,scheduler_family,n_stages,observation_condition,intercept_shift,state_slope_multiplier,failure_rate,candidate_family,best_parameter,true_parameter,parameter_error,nll,selected_family,family_recovered,state_rmse,state_correlation,unsigned_pe_correlation
9,RL,RL,8,state_slope_0.80,0.0,0.8,0.09885416666666667,RL,0.3,0.25,0.04999999999999999,2934.3788409917147,RL,true,0.3613565203282936,0.978607185924051,0.9890073053527496
9,RL,RL,8,state_slope_0.80,0.0,0.8,0.09885416666666667,Bayesian,0.65,0.25,0.4,2957.3660383647743,RL,true,0.35724932088620337,0.9622714911303898,0.9828630716193598
9,RL,RL,8,combined_plus_0.25_slope_0.80,0.25,0.8,0.09885416666666667,RL,0.4,0.25,0.15000000000000002,2953.615107533824,RL,true,0.8489522872812593,0.9606757315658587,0.9731185587307927
9,RL,RL,8,combined_plus_0.25_slope_0.80,0.25,0.8,0.09885416666666667,Bayesian,0.65,0.25,0.4,3019.539053540074,RL,true,0.35724932088620337,0.9622714911303898,0.9828630716193598
10,RL,RL,8,correct,0.0,1.0,0.09760416666666667,RL,0.25,0.25,0.0,2935.474549331499,RL,true,0.24108634641041315,0.9764411610554434,0.9893312480261481
10,RL,RL,8,correct,0.0,1.0,0.09760416666666667,Bayesian,0.45,0.25,0.2,2942.819810485376,RL,true,0.4241322717525861,0.9646216607467053,0.9864466821085328
10,RL,RL,8,intercept_minus_0.25,-0.25,1.0,0.09760416666666667,RL,0.2,0.25,-0.04999999999999999,2955.592724098126,RL,true,0.36255969445947756,0.9619532713893758,0.979777737958818
10,RL,RL,8,intercept_minus_0.25,-0.25,1.0,0.09760416666666667,Bayesian,0.3,0.25,0.04999999999999999,2956.681000059125,RL,true,0.5094784205658739,0.9571489125151543,0.9827944421870384
10,RL,RL,8,intercept_plus_0.25,0.25,1.0,0.09760416666666667,RL,0.3,0.25,0.04999999999999999,2949.570190810044,RL,true,0.3578622033313877,0.978103294440397,0.9892674047436374
10,RL,RL,8,intercept_plus_0.25,0.25,1.0,0.09760416666666667,Bayesian,0.65,0.25,0.4,2973.1385643234116,RL,true,0.3585538477942399,0.9631501555045248,0.983761100756093
10,RL,RL,8,state_slope_0.80,0.0,0.8,0.09760416666666667,RL,0.3,0.25,0.04999999999999999,2936.339130192216,RL,true,0.3578622033313877,0.978103294440397,0.9892674047436374
10,RL,RL,8,state_slope_0.80,0.0,0.8,0.09760416666666667,Bayesian,0.65,0.25,0.4,2961.527860985592,RL,true,0.3585538477942399,0.9631501555045248,0.983761100756093
10,RL,RL,8,combined_plus_0.25_slope_0.80,0.25,0.8,0.09760416666666667,RL,0.4,0.25,0.15000000000000002,2965.246069839051,RL,true,0.8392615700825445,0.9582481128425352,0.9739030666447086
10,RL,RL,8,combined_plus_0.25_slope_0.80,0.25,0.8,0.09760416666666667,Bayesian,0.65,0.25,0.4,3025.62334311478,RL,true,0.3585538477942399,0.9631501555045248,0.983761100756093
11,RL,RL,8,correct,0.0,1.0,0.08666666666666667,RL,0.3,0.25,0.04999999999999999,2699.9327275208925,RL,true,0.3642430053750935,0.9765984662035079,0.9898283374253004
11,RL,RL,8,correct,0.0,1.0,0.08666666666666667,Bayesian,0.65,0.25,0.4,2704.460322000829,RL,true,0.3549799450678188,0.9599792403014439,0.9837999049638908
11,RL,RL,8,intercept_minus_0.25,-0.25,1.0,0.08666666666666667,RL,0.25,0.25,0.0,2718.0767054208204,Bayesian,false,0.2438863348886961,0.972385573579581,0.9892509067235625
11,RL,RL,8,intercept_minus_0.25,-0.25,1.0,0.08666666666666667,Bayesian,0.65,0.25,0.4,2710.049322581093,Bayesian,false,0.3549799450678188,0.9599792403014439,0.9837999049638908
11,RL,RL,8,intercept_plus_0.25,0.25,1.0,0.08666666666666667,RL,0.3,0.25,0.04999999999999999,2714.388297404712,RL,true,0.3642430053750935,0.9765984662035079,0.9898283374253004
11,RL,RL,8,intercept_plus_0.25,0.25,1.0,0.08666666666666667,Bayesian,0.65,0.25,0.4,2748.6427529236435,RL,true,0.3549799450678188,0.9599792403014439,0.9837999049638908
11,RL,RL,8,state_slope_0.80,0.0,0.8,0.08666666666666667,RL,0.4,0.25,0.15000000000000002,2699.0856617727445,RL,true,0.85627091209951,0.9628706236764364,0.9759341165090714
11,RL,RL,8,state_slope_0.80,0.0,0.8,0.08666666666666667,Bayesian,0.65,0.25,0.4,2736.2649540479033,RL,true,0.3549799450678188,0.9599792403014439,0.9837999049638908
11,RL,RL,8,combined_plus_0.25_slope_0.80,0.25,0.8,0.08666666666666667,RL,0.4,0.25,0.15000000000000002,2723.0627878625073,RL,true,0.85627091209951,0.9628706236764364,0.9759341165090714
11,RL,RL,8,combined_plus_0.25_slope_0.80,0.25,0.8,0.08666666666666667,Bayesian,0.65,0.25,0.4,2817.3126996587007,RL,true,0.3549799450678188,0.9599792403014439,0.9837999049638908
12,RL,RL,8,correct,0.0,1.0,0.09197916666666667,RL,0.25,0.25,0.0,2804.2811293749464,RL,true,0.24330046181774778,0.9757316989614178,0.9902334116289211
12,RL,RL,8,correct,0.0,1.0,0.09197916666666667,Bayesian,0.65,0.25,0.4,2810.1764817329467,RL,true,0.37356584197652853,0.9607848339188764,0.9841113536217958
12,RL,RL,8,intercept_minus_0.25,-0.25,1.0,0.09197916666666667,RL,0.2,0.25,-0.04999999999999999,2828.048046917521,Bayesian,false,0.35882426413673085,0.9609593275073748,0.9813927975657534
12,RL,RL,8,intercept_minus_0.25,-0.25,1.0,0.09197916666666667,Bayesian,0.45,0.25,0.2,2827.012515017516,Bayesian,false,0.4416958560133851,0.9612122164631013,0.9867900938891948
12,RL,RL,8,intercept_plus_0.25,0.25,1.0,0.09197916666666667,RL,0.3,0.25,0.04999999999999999,2813.056731823783,RL,true,0.365268922745228,0.9779891843085716,0.9900332401173405
12,RL,RL,8,intercept_plus_0.25,0.25,1.0,0.09197916666666667,Bayesian,0.65,0.25,0.4,2841.676694296581,RL,true,0.37356584197652853,0.9607848339188764,0.9841113536217958
12,RL,RL,8,state_slope_0.80,0.0,0.8,0.09197916666666667,RL,0.3,0.25,0.04999999999999999,2805.8448706303384,RL,true,0.365268922745228,0.9779891843085716,0.9900332401173405
12,RL,RL,8,state_slope_0.80,0.0,0.8,0.09197916666666667,Bayesian,0.65,0.25,0.4,2836.5650612906993,RL,true,0.37356584197652853,0.9607848339188764,0.9841113536217958
12,RL,RL,8,combined_plus_0.25_slope_0.80,0.25,0.8,0.09197916666666667,RL,0.4,0.25,0.15000000000000002,2824.4982645290606,RL,true,0.8441286023131837,0.958733434189116,0.9746480596993929
12,RL,RL,8,combined_plus_0.25_slope_0.80,0.25,0.8,0.09197916666666667,Bayesian,0.65,0.25,0.4,2904.2736629978253,RL,true,0.37356584197652853,0.9607848339188764,0.9841113536217958
13,RL,RL,8,correct,0.0,1.0,0.08208333333333333,RL,0.25,0.25,0.0,2596.7146471799174,RL,true,0.23423760873505767,0.9789053988606461,0.9917683623222538
13,RL,RL,8,correct,0.0,1.0,0.08208333333333333,Bayesian,0.65,0.25,0.4,2607.4841336790573,RL,true,0.41526770839345306,0.9632231103625079,0.9857089797559436
13,RL,RL,8,intercept_minus_0.25,-0.25,1.0,0.08208333333333333,RL,0.2,0.25,-0.04999999999999999,2609.0329497443813,RL,true,0.36678615883665877,0.9651197206094909,0.983184186149021
13,RL,RL,8,intercept_minus_0.25,-0.25,1.0,0.08208333333333333,Bayesian,0.45,0.25,0.2,2610.00145311745,RL,true,0.486763972112975,0.9635824220995952,0.9882772968776203
13,RL,RL,8,intercept_plus_0.25,0.25,1.0,0.08208333333333333,RL,0.3,0.25,0.04999999999999999,2615.212991005829,RL,true,0.34574589168214204,0.9790997416184528,0.9912403127160568
13,RL,RL,8,intercept_plus_0.25,0.25,1.0,0.08208333333333333,Bayesian,0.65,0.25,0.4,2652.722047117736,RL,true,0.41526770839345306,0.9632231103625079,0.9857089797559436
13,RL,RL,8,state_slope_0.80,0.0,0.8,0.08208333333333333,RL,0.3,0.25,0.04999999999999999,2602.6330106807395,RL,true,0.34574589168214204,0.9790997416184528,0.9912403127160568
13,RL,RL,8,state_slope_0.80,0.0,0.8,0.08208333333333333,Bayesian,0.65,0.25,0.4,2641.4328933011234,RL,true,0.41526770839345306,0.9632231103625079,0.9857089797559436
13,RL,RL,8,combined_plus_0.25_slope_0.80,0.25,0.8,0.08208333333333333,RL,0.4,0.25,0.15000000000000002,2633.7524234388834,RL,true,0.8174462862940008,0.9522696916558508,0.9752423396272121
13,RL,RL,8,combined_plus_0.25_slope_0.80,0.25,0.8,0.08208333333333333,Bayesian,0.65,0.25,0.4,2724.6359948283643,RL,true,0.41526770839345306,0.9632231103625079,0.9857089797559436
14,RL,RL,8,correct,0.0,1.0,0.08645833333333333,RL,0.25,0.25,0.0,2689.9321289620284,RL,true,0.238507964939208,0.9770003897128859,0.9901352351845483
14,RL,RL,8,correct,0.0,1.0,0.08645833333333333,Bayesian,0.65,0.25,0.4,2699.501732271554,RL,true,0.37934643553821956,0.9624155905635413,0.9845763953341696
14,RL,RL,8,intercept_minus_0.25,-0.25,1.0,0.08645833333333333,RL,0.2,0.25,-0.04999999999999999,2702.7102928840377,RL,true,0.3608362160615494,0.9624839469495327,0.9809290586028548
