calibration_rank,replication,n_participants,n_items,n_stages,adaptivity,natural_deviation_sd,outcome_intercept,state_reliability,failure_rate,planned_actual_spearman,estimator,estimate,standard_error,ci_low,ci_high,converged,truth,bias,squared_error,covered,sign_error
1,0,12,100,2,0.75,0.5,-2.4,0.8,0.09458333333333334,0.852366328535821,naive,-0.20844053287591233,0.07749955705837415,-0.36033966471032564,-0.05654140104149899,true,0.24466377604599965,-0.453104308921912,0.20530351476360345,false,true
1,0,12,100,2,0.75,0.5,-2.4,0.8,0.09458333333333334,0.852366328535821,history,-0.043239077690219174,0.12503758736733547,-0.2883127489301967,0.20183459354975836,true,0.24466377604599965,-0.2879028537362188,0.0828880531894586,false,true
1,0,12,100,2,0.75,0.5,-2.4,0.8,0.09458333333333334,0.852366328535821,schedule_conditioned,0.2243086570815256,0.163163485686473,-0.09549177486396149,0.5441090890270126,true,0.24466377604599965,-0.02035511896447406,0.0004143308680578916,true,false
1,0,12,100,2,0.75,0.5,-2.4,0.8,0.09458333333333334,0.852366328535821,oracle,0.20507085035238248,0.133160643758192,-0.05592401141367381,0.4660657121184388,true,0.24466377604599965,-0.039592925693617165,0.0015675997649802903,true,false
1,1,12,100,2,0.75,0.5,-2.4,0.8,0.08958333333333333,0.8295073167547425,naive,-0.20361156200395458,0.06630590972588311,-0.3335711450666855,-0.07365197894122369,true,0.23460607432478256,-0.4382176363287371,0.1920346967895453,false,true
1,1,12,100,2,0.75,0.5,-2.4,0.8,0.08958333333333333,0.8295073167547425,history,0.026335453964460832,0.08413050655638953,-0.13856033888606265,0.1912312468149843,true,0.23460607432478256,-0.20827062036032173,0.04337665130527326,false,false
1,1,12,100,2,0.75,0.5,-2.4,0.8,0.08958333333333333,0.8295073167547425,schedule_conditioned,0.1683839588806375,0.14817126378325854,-0.12203171813454922,0.45879963589582423,true,0.23460607432478256,-0.06622211544414505,0.004385368573897675,true,false
1,1,12,100,2,0.75,0.5,-2.4,0.8,0.08958333333333333,0.8295073167547425,oracle,0.19423913666736103,0.12819702911982728,-0.05702704040750045,0.4455053137422225,true,0.23460607432478256,-0.040366937657421526,0.001629489655838156,true,false
1,2,12,100,2,0.75,0.5,-2.4,0.8,0.09583333333333334,0.8502293559425965,naive,-0.2714521231669274,0.12002716492301746,-0.5067053664160417,-0.036198879917813176,true,0.2456399488538083,-0.5170920720207357,0.26738421094669773,false,true
1,2,12,100,2,0.75,0.5,-2.4,0.8,0.09583333333333334,0.8502293559425965,history,0.06216456971463644,0.12405745328012127,-0.18098803871440125,0.30531717814367415,true,0.2456399488538083,-0.18347537913917186,0.03366321475026286,true,false
1,2,12,100,2,0.75,0.5,-2.4,0.8,0.09583333333333334,0.8502293559425965,schedule_conditioned,0.4940836086380227,0.13038482522692746,0.23852935119324487,0.7496378660828005,true,0.2456399488538083,0.2484436597842144,0.06172425208697447,true,false
1,2,12,100,2,0.75,0.5,-2.4,0.8,0.09583333333333334,0.8502293559425965,oracle,0.36139244553708827,0.14243088269877174,0.08222791544749564,0.6405569756266809,true,0.2456399488538083,0.11575249668327997,0.01339864048841274,true,false
1,3,12,100,2,0.75,0.5,-2.4,0.8,0.09833333333333333,0.8190118010437154,naive,-0.15342435317467526,0.09656605507212862,-0.34269382111604735,0.03584511476669683,true,0.2277692120609302,-0.38119356523560544,0.14530853417703177,false,true
1,3,12,100,2,0.75,0.5,-2.4,0.8,0.09833333333333333,0.8190118010437154,history,0.31552715299405104,0.12372579001825401,0.07302460455827317,0.5580297014298289,true,0.2277692120609302,0.08775794093312084,0.007701456196821126,true,false
