study,replication,n_participants,n_items,n_stages,context_strength,proxy_r2_target,proxy_r2_realized,estimator,truth,estimate,standard_error,normal_ci_low,normal_ci_high,participant_t_ci_low,participant_t_ci_high,converged,bias,squared_error,normal_covered,participant_t_covered,sign_error,failure_rate,planned_actual_spearman
context_proxy,0,30,100,2,1.0,0.75,0.7499999999999951,plan_plus_proxy,0.2397864685000029,0.3102142627899027,0.08194784298138097,0.149596490546396,0.4708320350334094,0.142612105215546,0.4778164203642594,true,0.07042779428989981,0.0049600742085404445,true,true,false,0.10216666666666667,0.7140825194467366
context_proxy,0,30,100,2,1.0,0.75,0.7499999999999951,oracle,0.2397864685000029,0.2187333196167194,0.07934374352681269,0.06321958230416655,0.3742470569292723,0.05645714343790734,0.38100949579553145,true,-0.021053148883283496,0.0004432350779017011,true,true,false,0.10216666666666667,0.7140825194467366
context_proxy,0,30,100,2,1.0,1.0,1.0,plan_conditioned,0.2397864685000029,0.7237296614720826,0.07322394917033143,0.580210721098233,0.8672486018459322,0.5739698701149024,0.8734894528292628,true,0.4839431929720797,0.23420101402401158,false,false,false,0.10216666666666667,0.7140825194467366
context_proxy,0,30,100,2,1.0,1.0,1.0,plan_plus_proxy,0.2397864685000029,0.18365410671127191,0.09415846243304327,-0.0008964796574928713,0.36820469308003667,-0.00892157171442673,0.3762297851369706,true,-0.05613236178873099,0.003150842039980987,true,true,false,0.10216666666666667,0.7140825194467366
context_proxy,0,30,100,2,1.0,1.0,1.0,oracle,0.2397864685000029,0.2187333196167194,0.07934374352681269,0.06321958230416655,0.3742470569292723,0.05645714343790734,0.38100949579553145,true,-0.021053148883283496,0.0004432350779017011,true,true,false,0.10216666666666667,0.7140825194467366
context_proxy,1,30,100,2,1.0,0.0,6.698656021177561e-34,plan_conditioned,0.2575822458983886,0.8997142475723744,0.06205945230156688,0.7780777210613034,1.0213507740834455,0.7727884161506893,1.0266400789940595,true,0.6421320016739858,0.41233350757383963,false,false,false,0.1055,0.7612404251455673
context_proxy,1,30,100,2,1.0,0.0,6.698656021177561e-34,plan_plus_proxy,0.2575822458983886,0.8997123458966192,0.06203452389774373,0.7781246790570415,1.0213000127361969,0.7728374987853641,1.0265871930078743,true,0.6421300999982307,0.4123310653237377,false,false,false,0.1055,0.7612404251455673
context_proxy,1,30,100,2,1.0,0.0,6.698656021177561e-34,oracle,0.2575822458983886,0.26680450220026264,0.08689799065333555,0.09648444051972496,0.43712456388080034,0.08907815587429022,0.44453084852623503,true,0.009222256301874066,8.505001129745591e-5,true,true,false,0.1055,0.7612404251455673
context_proxy,1,30,100,2,1.0,0.25,0.2499999999999979,plan_conditioned,0.2575822458983886,0.8997142475723744,0.06205945230156688,0.7780777210613034,1.0213507740834455,0.7727884161506893,1.0266400789940595,true,0.6421320016739858,0.41233350757383963,false,false,false,0.1055,0.7612404251455673
context_proxy,1,30,100,2,1.0,0.25,0.2499999999999979,plan_plus_proxy,0.2575822458983886,0.7912859045656585,0.0625852044227123,0.6686189038971424,0.9139529052341746,0.6632847893213926,0.9192870198099244,true,0.5337036586672699,0.2848395952748297,false,false,false,0.1055,0.7612404251455673
