study,replication,n_participants,n_items,n_stages,adaptivity,state_reliability,context_strength,true_delay_coefficient_per_sd,failure_rate,planned_actual_spearman,true_randomized_risk_difference,estimator,estimate,standard_error,ci_low,ci_high,converged,truth,bias,squared_error,covered,sign_error
unlogged_context,0,12,100,2,0.75,0.8,0.0,0.23582543682000237,0.09291666666666666,0.8330139935788183,,naive,-0.26809501882181436,0.06691691623900092,-0.3992521746502562,-0.13693786299337254,True,0.23582543682000237,-0.5039204556418168,0.2539358256142562,False,True
unlogged_context,0,12,100,2,0.75,0.8,0.0,0.23582543682000237,0.09291666666666666,0.8330139935788183,,history,0.025476068700723494,0.09207832153088163,-0.15499744149980452,0.2059495789012515,True,0.23582543682000237,-0.21034936811927887,0.044246856668179894,False,False
unlogged_context,0,12,100,2,0.75,0.8,0.0,0.23582543682000237,0.09291666666666666,0.8330139935788183,,schedule_conditioned,0.3883726267908221,0.11467988405658748,0.16360005403991063,0.6131451995417335,True,0.23582543682000237,0.1525471899708197,0.023270645167993355,True,False
unlogged_context,0,12,100,2,0.75,0.8,0.0,0.23582543682000237,0.09291666666666666,0.8330139935788183,,oracle,0.261047631303312,0.10087784944693827,0.06332704638731299,0.45876821621931096,True,0.23582543682000237,0.025222194483309618,0.0006361590945538941,True,False
unlogged_context,1,12,100,2,0.75,0.8,0.0,0.21170273437523238,0.09875,0.8058678829631741,,naive,-0.09932477066085797,0.06420219345730528,-0.22516106983717632,0.02651152851546039,True,0.21170273437523238,-0.31102750503609033,0.0967381088889752,False,True
unlogged_context,1,12,100,2,0.75,0.8,0.0,0.21170273437523238,0.09875,0.8058678829631741,,history,0.04459307275478066,0.09685750191816411,-0.145247631004821,0.23443377651438232,True,0.21170273437523238,-0.1671096616204517,0.02792563900690187,True,False
unlogged_context,1,12,100,2,0.75,0.8,0.0,0.21170273437523238,0.09875,0.8058678829631741,,schedule_conditioned,0.09385961723817006,0.138834638234843,-0.17825627370212221,0.3659755081784623,True,0.21170273437523238,-0.11784311713706232,0.01388700025657939,True,False
unlogged_context,1,12,100,2,0.75,0.8,0.0,0.21170273437523238,0.09875,0.8058678829631741,,oracle,0.09110327975723331,0.13496985937522993,-0.17343764461821737,0.355644204132684,True,0.21170273437523238,-0.12059945461799906,0.014544228454158816,True,False
unlogged_context,2,12,100,2,0.75,0.8,0.0,0.2224664773946915,0.10208333333333333,0.7978736072697235,,naive,-0.2547312695699688,0.08053721428473916,-0.4125842095680575,-0.09687832957188003,True,0.2224664773946915,-0.4771977469646603,0.22771768970814793,False,True
unlogged_context,2,12,100,2,0.75,0.8,0.0,0.2224664773946915,0.10208333333333333,0.7978736072697235,,history,-0.025155708944765688,0.12118112559550794,-0.2626707151119612,0.21235929722242985,True,0.2224664773946915,-0.24762218633945718,0.061316747167532853,False,True
