"n_participants","context_strength","estimator","n_replications","mean_estimate","mean_truth","bias","absolute_bias","rmse","coverage_95","sign_error_rate","convergence_rate","monte_carlo_se_bias","mean_failure_rate","mean_planned_actual_spearman"
12,0,"naive",160,-0.198913809721253,0.226600983216701,-0.425514792937953,0.425514792937953,0.433545488189789,0,0.9875,1,0.00658703286897371,0.0989661458333333,0.814505125239605
12,0,"history",160,0.0698691620270742,0.226600983216701,-0.156731821189626,0.163000832714377,0.184850310792031,0.6125,0.1875,1,0.00777221855705954,0.0989661458333333,0.814505125239605
12,0,"schedule_conditioned",160,0.232540483180141,0.226600983216701,0.00593949996344049,0.0945732993880834,0.117450217496301,0.95625,0.0375,1,0.0093024903442295,0.0989661458333333,0.814505125239605
12,0,"oracle",160,0.232983947706717,0.226600983216701,0.00638296449001645,0.0859220665565278,0.103925375266908,0.93125,0.01875,1,0.00822625853523925,0.0989661458333333,0.814505125239605
12,0.5,"naive",160,-0.140185570637598,0.231938796150131,-0.372124366787729,0.372124366787729,0.381187974323577,0.0125,0.975,1,0.00655299029717488,0.103171875,0.794686752978386
12,0.5,"history",160,0.194865922523904,0.231938796150131,-0.0370728736262275,0.0836162409627453,0.103673826307677,0.925,0.0125,1,0.00767822384399814,0.103171875,0.794686752978386
12,0.5,"schedule_conditioned",160,0.394974516162746,0.231938796150131,0.163035720012615,0.169008491996491,0.198125987410746,0.7125,0,1,0.00892782410877947,0.103171875,0.794686752978386
12,0.5,"oracle",160,0.235110571618735,0.231938796150131,0.00317177546860343,0.0883116055725349,0.109587482998428,0.9625,0.00625,1,0.0086872118368778,0.103171875,0.794686752978386
12,1,"naive",160,0.0505584733003863,0.249532520590722,-0.198974047290336,0.198974047290336,0.215636509693249,0.2625,0.26875,1,0.00659160549515138,0.1110625,0.745216339116335
12,1,"history",160,0.4839684322223,0.249532520590722,0.234435911631578,0.234435911631578,0.252042259265514,0.275,0,1,0.00733952159989454,0.1110625,0.745216339116335
12,1,"schedule_conditioned",160,0.730050625662638,0.249532520590722,0.480518105071916,0.480518105071916,0.494760773823259,0.0125,0,1,0.00934676953317018,0.1110625,0.745216339116335
12,1,"oracle",160,0.266071815876836,0.249532520590722,0.0165392952861141,0.103281881782619,0.131846136581388,0.9,0.00625,1,0.0103734832013545,0.1110625,0.745216339116335
30,0,"naive",160,-0.208206716134178,0.228421949515673,-0.436628665649851,0.436628665649851,0.439967255684435,0,1,1,0.00429025105723571,0.0995520833333333,0.818491559913307
30,0,"history",160,0.0669643529408437,0.228421949515673,-0.16145759657483,0.16145759657483,0.172451787616527,0.2625,0.1125,1,0.00480504423137858,0.0995520833333333,0.818491559913307
30,0,"schedule_conditioned",160,0.229372911908349,0.228421949515673,0.000950962392676097,0.0578126026431567,0.0713513471868028,0.96875,0,1,0.00565802731134898,0.0995520833333333,0.818491559913307
30,0,"oracle",160,0.228802951545367,0.228421949515673,0.000381002029693423,0.0541839149285663,0.0669085207012526,0.96875,0,1,0.00530610481437683,0.0995520833333333,0.818491559913307
30,0.5,"naive",160,-0.139073433389642,0.233973857443294,-0.373047290832937,0.373047290832937,0.377048491307383,0,1,1,0.00434465159482094,0.102847916666667,0.798863180350366
30,0.5,"history",160,0.198087489111276,0.233973857443294,-0.0358863683320186,0.0600682833785751,0.0759884354588017,0.875,0,1,0.00531191309235424,0.102847916666667,0.798863180350366
30,0.5,"schedule_conditioned",160,0.406346699772471,0.233973857443294,0.172372842329177,0.172701000637952,0.188680430397027,0.36875,0,1,0.00608529935087315,0.102847916666667,0.798863180350366
30,0.5,"oracle",160,0.243006440746015,0.233973857443294,0.00903258330272099,0.0641260672195149,0.0785767030331193,0.925,0,1,0.00619022901113355,0.102847916666667,0.798863180350366
30,1,"naive",160,0.0319422299162814,0.251452739616306,-0.219510509700024,0.219510509700024,0.227844336098168,0.025,0.2625,1,0.0048422781836511,0.1120875,0.749187039894432
30,1,"history",160,0.472391765167136,0.251452739616306,0.22093902555083,0.220953806063724,0.230982638846933,0.04375,0,1,0.00534291186087681,0.1120875,0.749187039894432
30,1,"schedule_conditioned",160,0.724047792874081,0.251452739616306,0.472595053257775,0.472595053257775,0.479065104039415,0,0,1,0.00622294877653061,0.1120875,0.749187039894432
30,1,"oracle",160,0.245522266598401,0.251452739616306,-0.00593047301790461,0.066680396484619,0.0870766394674971,0.9125,0.00625,1,0.00688959229231432,0.1120875,0.749187039894432
100,0,"naive",160,-0.21547508737572,0.228623659876066,-0.444098747251786,0.444098747251786,0.445486054992783,0,1,1,0.00278600261688782,0.0989396875,0.819523710752312
100,0,"history",160,0.0602128931819291,0.228623659876066,-0.168410766694137,0.168410766694137,0.173325557711005,0,0.05625,1,0.00325012105950045,0.0989396875,0.819523710752312
100,0,"schedule_conditioned",160,0.226320644375216,0.228623659876066,-0.00230301550085017,0.0345888988919659,0.0437393627974612,0.9375,0,1,0.00346394545246859,0.0989396875,0.819523710752312
