"model","n_transitions","n_failures","log_odds_coefficient","odds_ratio","ci_low","ci_high","n_bootstrap_successful","regularization_C"
"Naive gap-only",2045,199,-0.21582552903472,0.80587589155341,0.537334498069809,1.07665018551547,1200,100
"Observed-history adjusted",2045,199,0.236162816067373,1.26638048047213,0.72333744658997,2.47192619598716,1200,100
"Crossed learner-item adjusted",2045,199,0.321452312510431,1.37912923724684,0.645186904976307,2.93240772594904,1200,10
"Schedule-conditioned deviation",1724,161,-0.276231669726197,0.758637157138837,0.341429070857238,2.37143919397497,1200,10
