lambda,parameter,paired_valid,n_total,bias_difference,bias_difference_mcse,coverage_difference_paired_valid,coverage_difference_paired_valid_mcse,coverage_difference_unconditional,coverage_difference_unconditional_mcse
1,delay_coefficient,987,1000,-0.002298983306249661,0.0013569876745954182,-0.014184397163120567,0.00783896470074093,-0.016,0.00823479276070818
1,state_coefficient,987,1000,-0.001327995776056092,0.0031291250070101325,-0.010131712259371834,0.008103057474356903,-0.012,0.008362172320989682
1,previous_failure_coefficient,987,1000,-0.009049672849603839,0.004704896812741586,-0.014184397163120567,0.007572261186881634,-0.017,0.008048339939128811
1,retention,987,1000,0.0013087568765000179,0.0019728909104274263,0.00303951367781155,0.005266371600503579,-0.001,0.006085723953321911
2,delay_coefficient,984,1000,-0.004860215507764935,0.0018143362278679,0.0040650406504065045,0.008133182215540524,0.001,0.008548220403807568
2,state_coefficient,984,1000,0.0008885028079035431,0.004106926120169277,-0.008130081300813009,0.008623740769997508,-0.012,0.009051957685381544
2,previous_failure_coefficient,984,1000,-0.019891402803769106,0.0059696654942029805,-0.022357723577235773,0.008598118031072688,-0.029,0.00917841180396931
2,retention,984,1000,0.0034191694855809367,0.0025650005418751424,0.0020325203252032522,0.0059284230437734444,-0.005,0.0068572605333341394
