"gap_bin","n_transitions","n_failures","failure_rate","ci_low","ci_high"
"~1 day",714,80,0.112044817927171,0.0909535868796982,0.137288257900152
"~2 days",315,30,0.0952380952380952,0.0675272152809672,0.132702262581874
"3–4 days",536,51,0.0951492537313433,0.0731112787842802,0.12294898500485
"5–7 days",394,33,0.083756345177665,0.0602591724502973,0.115291809661327
"≥8 days",86,5,0.0581395348837209,0.0250869356210797,0.128978448026786
