lambda,parameter,paired_valid,n_total,bias_difference,bias_difference_mcse,coverage_difference_paired_valid,coverage_difference_paired_valid_mcse,coverage_difference_unconditional,coverage_difference_unconditional_mcse
1,delay_coefficient,977,1000,-0.0019443052785728307,0.0013616573500157814,-0.01330603889457523,0.007854458316910791,-0.021,0.008522419353190251
1,state_coefficient,977,1000,-0.00219464607015114,0.0031361043262191786,-0.0030706243602865915,0.007730901514634538,-0.012,0.008362172320989684
1,previous_failure_coefficient,977,1000,-0.00993982521831707,0.004736490817307285,-0.014329580348004094,0.007649666801317215,-0.022,0.008460944840122034
1,retention,977,1000,0.0005478845160329216,0.001955953704900311,0.0030706243602865915,0.0053202935127780165,-0.006,0.00663385317956374
2,delay_coefficient,969,1000,-0.004217053339969829,0.0018228416654860202,0.005159958720330237,0.007929238166347273,-0.007,0.009001779381435215
2,state_coefficient,969,1000,-0.0009562248213612094,0.004118924449015402,0.0,0.008260197280440995,-0.013,0.009214983229280221
2,previous_failure_coefficient,969,1000,-0.021160638392633966,0.006024446352579542,-0.022703818369453045,0.00860784518178773,-0.036,0.009736467470227524
2,retention,969,1000,0.002025240851515682,0.0025405599673926447,0.0020639834881320948,0.0060202361289189025,-0.013,0.007803325694336472
